Date,Returns,Historical_VaR,Historical_ES,LSTM_VaR,LSTM_ES,LSTM_Predicted_Returns,LSTM_Predicted_Volatility,Historical_VaR_Breach,LSTM_VaR_Breach,Is_Stress_Period
2020-01-21,-0.004210116520904527,-0.013889853734936789,-0.022113072068877443,-0.015155121960162053,-0.018879163346985972,-0.0009438577654583065,0.008814004528266438,False,False,False
2020-01-22,-0.0006398319354715609,-0.013889853734936789,-0.022113072068877443,-0.016446926600525418,-0.020225176282380155,-0.0010162273981535544,0.009430655315479921,False,False,False
2020-01-23,0.0017401798114270593,-0.013889853734936789,-0.022113072068877443,-0.01641045795089219,-0.019624377890820395,-0.001603298012941075,0.009015786620599122,False,False,False
2020-01-24,-0.010526517221632403,-0.013889853734936789,-0.022113072068877443,-0.01567077588371277,-0.020056404518724247,-0.001280575625680781,0.00913400495524205,False,False,False
2020-01-27,-0.01753319384359808,-0.013889853734936789,-0.022113072068877443,-0.017194277768685665,-0.02112203427643243,-0.0018236782553509396,0.009177203667778777,True,True,False
2020-01-28,0.00958017608430179,-0.013889853734936789,-0.022057947771321952,-0.021250483361463984,-0.025637916647982033,-0.00291748194413371,0.010704129901568642,False,False,False
2020-01-29,-0.00399742028804226,-0.013889853734936789,-0.022057947771321952,-0.01758406692862694,-0.021859581922614592,-0.0013847872101349745,0.00968433787113436,False,False,False
2020-01-30,0.003598136553914903,-0.013889853734936789,-0.022057947771321952,-0.016223947025593856,-0.020407699917262948,-0.0008195854939875553,0.009341147602276566,False,False,False
2020-01-31,-0.01928639060683399,-0.013889853734936789,-0.022057947771321952,-0.01501090305726831,-0.018708892399603626,-0.0009577377605604591,0.008848708454849209,True,True,False
2020-02-03,0.007132946965941691,-0.014202961299985774,-0.022162067175578812,-0.019098350231949817,-0.023520599872433712,-0.0023202598086868483,0.010217953225651449,False,False,False
2020-02-04,0.01522769004391275,-0.014202961299985774,-0.022162067175578812,-0.01738023210104368,-0.021173840780314066,-0.0015701225790436006,0.00951441426789548,False,False,False
2020-02-05,0.011359205859955994,-0.013889853734936789,-0.021962561671642965,-0.01592201873611639,-0.01915961713796699,-0.00043388197959717313,0.009075038216885625,False,False,False
2020-02-06,0.0005008303812271428,-0.013889853734936789,-0.021962561671642965,-0.015637600811441863,-0.01891494692229201,-0.0007427982475146474,0.008896945089771974,False,False,False
2020-02-07,-0.008204507325338947,-0.013889853734936789,-0.021962561671642965,-0.015638050733071805,-0.018847219623177713,-0.0010804204488515654,0.008889167197161103,False,False,False
2020-02-10,0.005832527635843518,-0.013729279516373963,-0.021756832965837677,-0.017991175134235957,-0.022440945221353,-0.002323569258291646,0.009483061665927578,False,False,False
2020-02-11,0.006657299955153704,-0.01370879876830879,-0.021546914381622668,-0.01627523517408858,-0.019201089861973573,-0.0010688538434854432,0.009377547317780649,False,False,False
2020-02-12,0.006466184672875138,-0.01370879876830879,-0.021546914381622668,-0.015581615662516118,-0.018847028658041453,-0.0007318430853093736,0.008871499688513008,False,False,False
2020-02-13,0.0008456819785012846,-0.01370879876830879,-0.021546914381622668,-0.015500998115556337,-0.01882317773286692,-0.000861245752358419,0.00873763636690766,False,False,False
2020-02-14,0.001586142377149378,-0.013538341614151614,-0.021515235334846734,-0.016224679208511446,-0.019779003034369358,-0.0011802147220051546,0.009023980395651898,False,False,False
2020-02-18,-0.0035761532518266462,-0.013538341614151614,-0.021515235334846734,-0.015597412439875547,-0.020105523116924862,-0.0013148340187861443,0.00902395272301671,False,False,True
2020-02-19,0.00622723890452876,-0.013538341614151614,-0.021515235334846734,-0.016130893068220235,-0.019881751068313653,-0.0012488429206220627,0.009109374489222331,False,False,True
2020-02-20,-0.0021086092367032226,-0.013538341614151614,-0.021515235334846734,-0.01572110288610112,-0.019183584503500103,-0.0010598055847796024,0.00900046290317129,False,False,True
2020-02-21,-0.010750195856861681,-0.013538341614151614,-0.021515235334846734,-0.01663734170433928,-0.020719804963113864,-0.0010527802929727042,0.009095081706767452,False,False,True
2020-02-24,-0.032291352428857924,-0.013538341614151614,-0.021515235334846734,-0.017814732883637295,-0.02148521394838663,-0.0016296138686247253,0.009717347643209822,True,True,True
2020-02-25,-0.03454298150121893,-0.01370879876830879,-0.02188034294705252,-0.02555533466788768,-0.031149601212722155,-0.00537239951665756,0.012666210621031846,True,True,True
2020-02-26,-0.010041322609049143,-0.013729279516373963,-0.02228845581823534,-0.033863823875373775,-0.04069443979154557,-0.009236610479295106,0.015267998381774273,False,False,True
2020-02-27,-0.04170005458644126,-0.013729279516373963,-0.02228845581823534,-0.029258822647000714,-0.03668594190035218,-0.007079973879013641,0.013871633394009058,True,True,True
2020-02-28,-0.009849866818482279,-0.013889853734936789,-0.022836901813397512,-0.03769396112675179,-0.043865047997721146,-0.010264336486127042,0.016217216852531795,False,False,True
2020-03-02,0.039435748791320474,-0.013889853734936789,-0.022836901813397512,-0.03228143080900883,-0.038668296209440324,-0.007735157138502792,0.014841629279761794,False,False,True
2020-03-03,-0.026113156767163692,-0.013889853734936789,-0.022836901813397512,-0.01957678473499601,-0.02361971985736437,-0.002420548193777493,0.010165479959303137,True,True,True
2020-03-04,0.037277528254770466,-0.014202961299985774,-0.023074879377660843,-0.02086744554286717,-0.02575264867096445,-0.002800428870180645,0.011232465556683906,False,False,True
2020-03-05,-0.03626201933969475,-0.014202961299985774,-0.023074879377660843,-0.01600362548712526,-0.01943750247215887,-0.0012882902408251997,0.008980700672898873,True,True,True
2020-03-06,-0.02652063419955557,-0.01443821645888855,-0.023505016832177362,-0.023393739247193446,-0.029107656428973193,-0.004409934491817568,0.01212909984827096,True,True,True
2020-03-09,-0.11092299939963597,-0.014557012130913104,-0.023740731733432142,-0.031054534524648444,-0.03670875449537397,-0.007310897013661362,0.014974666898607105,True,True,True
2020-03-10,0.05060435815798174,-0.014718293360235531,-0.025629650239051956,-0.054245863242129044,-0.06388179702246934,-0.016824354524391745,0.02280832937144156,False,False,True
2020-03-11,-0.05916295101252657,-0.014557012130913104,-0.025573533566199888,-0.03599593459133847,-0.043495554872946,-0.009619399173702511,0.01588046250296906,True,True,True
2020-03-12,-0.10810656755416694,-0.014718293360235531,-0.02644754916226854,-0.050828073836112805,-0.05852030804735647,-0.015766279641499154,0.021018162721130284,True,True,True
2020-03-13,0.08528018603608245,-0.01499481031015884,-0.028277317790157887,-0.05714958420204345,-0.06646267924248775,-0.019480847215708218,0.02293165879361099,False,False,True
2020-03-16,-0.1452333620984511,-0.01499481031015884,-0.028277317790157887,-0.03881192418560384,-0.04620831084837909,-0.011206901799392046,0.017083740313325088,True,True,True
2020-03-17,0.045065133005545766,-0.015240140934595836,-0.03082883524686884,-0.059700359920710336,-0.06816594190703598,-0.018397207244425978,0.026046197717121643,False,False,True
2020-03-18,-0.0849674990755784,-0.015240140934595836,-0.03082883524686884,-0.04187068335276117,-0.04761018946745467,-0.012550638094951076,0.017936174790242062,True,True,True
2020-03-19,0.026942346089683454,-0.015473190830157153,-0.03219462178070587,-0.06051315466901887,-0.06944373148629217,-0.019603112829915177,0.024473665384388513,False,False,True
2020-03-20,-0.035984352872453204,-0.015473190830157153,-0.03219462178070587,-0.04715279355418466,-0.05584964691409702,-0.015130265531651676,0.019653651748372816,True,False,True
2020-03-23,-0.030874338271686196,-0.015619379887899777,-0.03259510363845546,-0.05183759649231465,-0.059436079680342244,-0.015105170772739563,0.02159497891070379,True,False,False
2020-03-24,0.10693780209994809,-0.015696581071279206,-0.03289359118998561,-0.05039330848208698,-0.058795459822568084,-0.01509918341172528,0.021176643138844257,False,False,False
2020-03-25,0.02377625310274427,-0.015696581071279206,-0.03289359118998561,-0.03472749564021762,-0.04221269401369294,-0.008876855061295272,0.015720324386532078,False,False,False
2020-03-26,0.06113276128913265,-0.015696581071279206,-0.03289359118998561,-0.03137944461490541,-0.0375527043611579,-0.007097757886248874,0.014299949586636015,False,False,False
2020-03-27,-0.03806991849658874,-0.015696581071279206,-0.03289359118998561,-0.02167101346242621,-0.026199958046837824,-0.0037142621679119867,0.011009723206574068,True,True,False
2020-03-30,0.021557764220858637,-0.015776669021616948,-0.033331807828048364,-0.03276921904088647,-0.03929335853412126,-0.008470634602157665,0.014942945665973682,False,False,False
2020-03-31,-0.016206990869023396,-0.015776669021616948,-0.033331807828048364,-0.022876108686890145,-0.02887229512750027,-0.00414884041088675,0.011724082749071194,True,False,False
2020-04-01,-0.05752142795660785,-0.015879477739659125,-0.03333965638091818,-0.023189526623542466,-0.028631853328430826,-0.004453613915048221,0.011771435821477891,True,True,False
2020-04-02,0.01876481560082317,-0.016034950321291593,-0.03415539697119172,-0.04212219179645021,-0.04827653731404867,-0.012002679022901386,0.018159499329099254,False,False,False
2020-04-03,-0.016071427694261183,-0.016034950321291593,-0.03415539697119172,-0.02893515646337449,-0.03473545929124075,-0.006848556097962692,0.013350792144100385,True,False,False
2020-04-06,0.07826421793446814,-0.016088419765853085,-0.03415539697119172,-0.027566332327921616,-0.03253573869471807,-0.006568821196542785,0.012596225291391854,False,False,False
2020-04-07,0.008881544487165386,-0.016088419765853085,-0.03415539697119172,-0.01691927570868806,-0.020570371578873377,-0.001625452520305218,0.009454523324065501,False,False,False
2020-04-08,0.04448581430277026,-0.016088419765853085,-0.03415539697119172,-0.015301413315900443,-0.01947582400664996,-0.0009542866690299317,0.00886473198588472,False,False,False
2020-04-09,0.02288985312754361,-0.016088419765853085,-0.03415539697119172,-0.014708701840618838,-0.019197208472945784,-0.0007023529354653847,0.00857824555719385,False,False,False
2020-04-13,-0.01803953465321125,-0.016088419765853085,-0.03415539697119172,-0.013974958806279036,-0.018158643706641345,-0.00040297554433353324,0.008670420855680407,True,True,False
2020-04-14,0.02332889918444581,-0.016125024254973953,-0.034193474722374995,-0.01780839042187121,-0.021741750594181243,-0.001916099442515412,0.00967612931608221,False,False,False
2020-04-15,-0.03364823990554043,-0.016125024254973953,-0.034193474722374995,-0.015836121755576655,-0.018642686658438747,-0.0018770339548213962,0.008624452219791114,True,True,False
2020-04-16,-0.006283359005856719,-0.016183476749080637,-0.034536777315244675,-0.02430966222486984,-0.029010882340186672,-0.004561138405710099,0.011788891238223301,False,False,False
2020-04-17,0.041798832784960244,-0.016183476749080637,-0.034536777315244675,-0.02221650115584887,-0.02667833100780827,-0.0038503373764781934,0.011001372150298911,False,False,False
