,0
Stress_Period_Returns_Mean,-0.023416074713696427
Stress_Period_Returns_Std,0.059399082816902975
Stress_Period_Worst_Loss,-0.15274961777151916
Historical_VaR_Breaches,13
Historical_VaR_Breach_Rate,54.166666666666664
LSTM_VaR_Breaches,11
LSTM_VaR_Breach_Rate,45.83333333333333
Pre_Stress_Historical_VaR_Mean,-0.014701445189765508
Stress_Historical_VaR_Mean,-0.014037546800128664
Pre_Stress_LSTM_VaR_Mean,-0.026353340592827672
Stress_LSTM_VaR_Mean,-0.026562315066299625
Historical_VaR_Change_Pct,-4.515871610357191
LSTM_VaR_Change_Pct,0.7929714744734362
LSTM_Prediction_MSE,0.0023246788502853063
LSTM_Prediction_MAE,0.03363518960296298
LSTM_Prediction_RMSE,0.048214923522549594
Training_Start_Date,2009-11-27 00:00:00
Training_End_Date,2020-01-17 00:00:00
Training_Days,2552
Training_Years,10.126984126984127
