Date,Returns,Historical_VaR,Historical_ES,LSTM_VaR,LSTM_ES,MonteCarlo_VaR,MonteCarlo_ES,Historical_VaR_Breach,LSTM_VaR_Breach,MonteCarlo_VaR_Breach,Is_Stress_Period
2020-01-21,-0.0003417581781484282,-0.015007855303944141,-0.024427509605845655,-0.014564390344987369,-0.017001261007713306,-0.013102341484923763,-0.017389398284837165,False,False,False,False
2020-01-22,0.0020446630538565945,-0.015007855303944141,-0.024427509605845655,-0.014546198838224252,-0.017332816496210445,-0.013747793127245504,-0.01836168158432202,False,False,False,False
2020-01-23,0.0030755862243461436,-0.015007855303944141,-0.024427509605845655,-0.012999629112013807,-0.01638841032261028,-0.014181659163388193,-0.017397726589744453,False,False,False,False
2020-01-24,-0.009499148033175345,-0.015007855303944141,-0.024427509605845655,-0.011982128122130693,-0.014960751683094688,-0.012534634487882097,-0.016506014724289298,False,False,False,False
2020-01-27,-0.019279002421252123,-0.015007855303944141,-0.024427509605845655,-0.012178370086848642,-0.01562650139472589,-0.013083819924092362,-0.016753768320231063,True,True,True,False
2020-01-28,0.013686853187581352,-0.015289488342577097,-0.02450826197438276,-0.02471777429622554,-0.031100236308342594,-0.01340433585498866,-0.017522480321849963,False,False,False,False
2020-01-29,0.0006229366409988608,-0.015289488342577097,-0.02450826197438276,-0.018392786439538244,-0.022705545340488756,-0.012307687769872785,-0.01548004365100905,False,False,False,False
2020-01-30,0.006471311318844694,-0.015007855303944141,-0.024490883282662506,-0.017756495219931296,-0.02157581242342304,-0.013205048225803668,-0.017639287787047514,False,False,False,False
2020-01-31,-0.017599761190041203,-0.015007855303944141,-0.024490883282662506,-0.012665016493533651,-0.016184705928787804,-0.01271665868509455,-0.01616986796248918,True,True,True,False
2020-02-03,0.013763228275066002,-0.015289488342577097,-0.024538709352548416,-0.01814432393608277,-0.02345996209958134,-0.013369257967246093,-0.016853087286852045,False,False,False,False
2020-02-04,0.0172880975368742,-0.015289488342577097,-0.024538709352548416,-0.013425167485299304,-0.016851032795845544,-0.013628035998379183,-0.017009632980138925,False,False,False,False
2020-02-05,0.0055978261144953925,-0.015007855303944141,-0.024386538374940026,-0.015585786735281713,-0.018303977453096018,-0.013224230873934335,-0.01672093328704333,False,False,False,False
2020-02-06,0.006074479410858801,-0.015007855303944141,-0.024386538374940026,-0.01829781014472152,-0.021690760015132766,-0.012908055952787116,-0.01711542197826224,False,False,False,False
2020-02-07,-0.004928084060764966,-0.015007855303944141,-0.024386538374940026,-0.019638142248910907,-0.023524133408164772,-0.014084990230644657,-0.01746464032217738,False,False,False,False
2020-02-10,0.01204833357527637,-0.014623328018064975,-0.024093441290482548,-0.0180657583127656,-0.020989757203907833,-0.013906819275422033,-0.01754364894792763,False,False,False,False
2020-02-11,0.00340887778476181,-0.014335283726128745,-0.02399152750654668,-0.016299517529170207,-0.019316850678250553,-0.012899230029046548,-0.01737134761349739,False,False,False,False
2020-02-12,0.007492369544369672,-0.014335283726128745,-0.02399152750654668,-0.016765596939574093,-0.020007953215903387,-0.012954439690014634,-0.016572712362896647,False,False,False,False
2020-02-13,-0.0005187916970959259,-0.014335283726128745,-0.02399152750654668,-0.018410877926992926,-0.021574504077844094,-0.013256757622549013,-0.016923598297308703,False,False,False,False
2020-02-14,0.006312525511640756,-0.014335283726128745,-0.02399152750654668,-0.016115155625085715,-0.019996039379695397,-0.01370379094531638,-0.017395002739235742,False,False,False,False
2020-02-18,0.00102154967864729,-0.014335283726128745,-0.02399152750654668,-0.016035031988910035,-0.01904755093218414,-0.013691327123001461,-0.017245085245513905,False,False,False,True
2020-02-19,0.010506561116016664,-0.014335283726128745,-0.02399152750654668,-0.01437703752258486,-0.01778243487843529,-0.01334391777326642,-0.017234066970641098,False,False,False,True
2020-02-20,-0.006010991494642329,-0.014335283726128745,-0.02399152750654668,-0.014878028364840394,-0.01750512442522399,-0.013661246475459786,-0.016707225153373247,False,False,False,True
2020-02-21,-0.015418349261370895,-0.014335283726128745,-0.02399152750654668,-0.014001507406297752,-0.016958152489365448,-0.012307299036575878,-0.016796778341673046,True,True,True,True
2020-02-24,-0.039786011985475656,-0.014623328018064975,-0.02401078674045354,-0.01705623843154317,-0.02045959219848491,-0.013163451478679523,-0.016773351819819683,True,True,True,True
2020-02-25,-0.031154889728884038,-0.015007855303944141,-0.024502196233326435,-0.05710909034539787,-0.06908765940842274,-0.013748412851403675,-0.017970561470134868,True,False,True,True
2020-02-26,-0.0007386718186958319,-0.015289488342577097,-0.024815809137307306,-0.06704067253419047,-0.0790786536889646,-0.014768623969404274,-0.019183913116293486,False,False,False,True
