Date,Returns,Historical_VaR,Historical_ES,LSTM_VaR,LSTM_ES,MonteCarlo_VaR,MonteCarlo_ES,Historical_VaR_Breach,LSTM_VaR_Breach,MonteCarlo_VaR_Breach,Is_Stress_Period
2020-01-21,-0.004003145868921177,-0.012603076711937238,-0.02073648874509076,-0.012138388323056467,-0.015014910708338826,-0.011292761238808504,-0.014629827890727188,False,False,False,False
2020-01-22,-0.0004235848169257338,-0.012603076711937238,-0.02073648874509076,-0.012202307903164412,-0.016063665307878405,-0.011385148238364009,-0.014020355947711324,False,False,False,False
2020-01-23,0.0026929026134829056,-0.012603076711937238,-0.02073648874509076,-0.012692174205840028,-0.015523527343958163,-0.011254315205138792,-0.014325791273173285,False,False,False,False
2020-01-24,-0.009614001418645879,-0.012603076711937238,-0.02073648874509076,-0.012345225939898487,-0.015809742801600933,-0.011588064950674269,-0.014226531608111926,False,False,False,False
2020-01-27,-0.015933543511059533,-0.012603076711937238,-0.02073648874509076,-0.012825065764677077,-0.01600010983359613,-0.011655832633141893,-0.014874129668100502,True,True,True,False
2020-01-28,0.008952965085570242,-0.012603076711937238,-0.020685125550608936,-0.016197098222856775,-0.019083591390507512,-0.011364323344593995,-0.013909135352198893,False,False,False,False
2020-01-29,-0.0027916736684314852,-0.012603076711937238,-0.020685125550608936,-0.015144744418140389,-0.018272960654084267,-0.011328734708104617,-0.013962537701022942,False,False,False,False
2020-01-30,0.0025292473914222758,-0.012603076711937238,-0.020685125550608936,-0.015834367553596993,-0.01892042967547652,-0.010923844674630433,-0.014311753432441785,False,False,False,False
2020-01-31,-0.01876658694734036,-0.012603076711937238,-0.020685125550608936,-0.01389917439026511,-0.017603343842069852,-0.012066275204639825,-0.015444929411003679,True,True,True,False
2020-02-03,0.006913950267980738,-0.01282659862232105,-0.02080467577930263,-0.01707060249761595,-0.020714141183868558,-0.012344013006227715,-0.015534134758049808,False,False,False,False
2020-02-04,0.014228084016510307,-0.01282659862232105,-0.02080467577930263,-0.015835616442829485,-0.018825815413174442,-0.011645294775077397,-0.014669920308637363,False,False,False,False
2020-02-05,0.012197032849172753,-0.012603076711937238,-0.020619255377381965,-0.013906983738691885,-0.017761948047724675,-0.012126156781021032,-0.01575893872084623,False,False,False,False
2020-02-06,6.546396613537841e-05,-0.012603076711937238,-0.020619255377381965,-0.011825296034612486,-0.01563667303934184,-0.011704359958514406,-0.015318391747006116,False,False,False,False
2020-02-07,-0.00776583773263218,-0.012603076711937238,-0.020619255377381965,-0.012279474185765228,-0.015700832165417785,-0.010723598143778846,-0.01453124561192528,False,False,False,False
2020-02-10,0.005840095855596966,-0.012428362578539917,-0.020487637573264973,-0.01297866511462357,-0.01599795576793425,-0.011166353848590334,-0.014343983585218274,False,False,False,False
2020-02-11,0.0062421256216770955,-0.012332735781736125,-0.02029303225770738,-0.013255929520699204,-0.01660728492613015,-0.012550066250302059,-0.014992156409768,False,False,False,False
2020-02-12,0.006494023085172027,-0.012332735781736125,-0.02029303225770738,-0.012685439318355564,-0.015712659466131713,-0.011720979056167495,-0.01489914869836116,False,False,False,False
2020-02-13,0.00010544036747008658,-0.012332735781736125,-0.02029303225770738,-0.013231271269235297,-0.01660417191518398,-0.011208494740533008,-0.014637857635273609,False,False,False,False
2020-02-14,0.0012388200457471616,-0.01228213183723867,-0.020217833063935063,-0.012490224884038984,-0.015439668537702345,-0.011878514415526802,-0.01573997547467138,False,False,False,False
2020-02-18,-0.0033382656466867467,-0.01228213183723867,-0.020217833063935063,-0.012656342788141367,-0.01583497189851862,-0.011988197731847563,-0.015402653064810765,False,False,False,True
2020-02-19,0.0037279846687504454,-0.01228213183723867,-0.020217833063935063,-0.012540532445712897,-0.015740087232205678,-0.013028945027700805,-0.016175933488790206,False,False,False,True
2020-02-20,-0.0007419716421862902,-0.01228213183723867,-0.020217833063935063,-0.012169731107058155,-0.01512851459210627,-0.011580645032838743,-0.015052703025997214,False,False,False,True
2020-02-21,-0.008914773917079899,-0.01228213183723867,-0.020217833063935063,-0.01265462502768956,-0.015870587095010782,-0.010998042438660373,-0.01414728528640425,False,False,False,True
2020-02-24,-0.030629448065917286,-0.01228213183723867,-0.020217833063935063,-0.013369095324943191,-0.016502139757169163,-0.011930001019465593,-0.014307022451560987,True,True,True,True
2020-02-25,-0.03427824877609985,-0.012332735781736125,-0.020576604416817194,-0.018093999464039702,-0.02332475506030091,-0.011801305931035328,-0.015980014918119914,True,True,True,True
2020-02-26,-0.009588841128544483,-0.012428362578539917,-0.021006901976299962,-0.031018729990577205,-0.03801225605673142,-0.011478133085659977,-0.014671383165458358,False,False,False,True
2020-02-27,-0.04029295714618405,-0.012428362578539917,-0.021006901976299962,-0.0387984647324335,-0.04694267195030463,-0.013238136264917292,-0.01621703936024421,True,True,True,True
2020-02-28,-0.013359292132147736,-0.012603076711937238,-0.021552260504244074,-0.0472849189271481,-0.05460255677371009,-0.013438694101674116,-0.016494033362636686,True,False,False,True
2020-03-02,0.039151036645617705,-0.01282659862232105,-0.02156578534440458,-0.04664096280915193,-0.05587102225053821,-0.01434584191484611,-0.017955215170190303,False,False,False,True
2020-03-03,-0.024413105851905634,-0.01282659862232105,-0.02156578534440458,-0.04571546682202998,-0.056052084445866644,-0.014018621117603568,-0.018333250994666418,True,False,True,True
2020-03-04,0.039040409935523476,-0.013202451686706855,-0.021791313369466547,-0.05016354278757844,-0.05889015185685424,-0.014484972509802536,-0.017818255561835483,False,False,False,True
2020-03-05,-0.03635135118476335,-0.013202451686706855,-0.021791313369466547,-0.04688600070123033,-0.055357238144322495,-0.016046916737577355,-0.020026889387356087,True,False,True,True
2020-03-06,-0.02104452976593311,-0.013371939701366095,-0.022242138056772737,-0.05104366072807755,-0.05704092716027243,-0.015683361062499634,-0.019645507766045008,True,False,True,True
2020-03-09,-0.09464141131347105,-0.013490900667878692,-0.02239244746530191,-0.05064142113645129,-0.06006852592636851,-0.016232708207509956,-0.020549729436949427,True,True,True,True
2020-03-10,0.04859745665767339,-0.013690772913619103,-0.02398244985328708,-0.0531529969505508,-0.06280600494196026,-0.019582761102572746,-0.02447586272604264,False,False,False,True
2020-03-11,-0.05757754242769783,-0.013490900667878692,-0.023965982428895773,-0.051374063753761474,-0.06131033114519169,-0.018767493219375684,-0.023589848831340313,True,True,True,True
2020-03-12,-0.10833832364078938,-0.013690772913619103,-0.024829242289708918,-0.053725083748180344,-0.06597011002172666,-0.01921432403304873,-0.024933268449825942,True,True,True,True
2020-03-13,0.08033577622076517,-0.01412631557940916,-0.026683603942410983,-0.058195595285631556,-0.06978656265337121,-0.02372053619462751,-0.029792892082180743,False,False,False,True
2020-03-16,-0.14164207795245634,-0.01412631557940916,-0.026683603942410983,-0.051040570212917045,-0.06238290505683945,-0.02394073030936357,-0.03129642566621906,True,True,True,True
2020-03-17,0.04752575505091195,-0.014453823845860836,-0.029180107497862925,-0.05476966727440465,-0.06494032634222245,-0.03031955644538485,-0.03776396088749614,False,False,False,True
2020-03-18,-0.08318129342986318,-0.014453823845860836,-0.029180107497862925,-0.05322801089810992,-0.06143446793111784,-0.030502518243852694,-0.03721558576358056,True,True,True,True
2020-03-19,0.019046880909374363,-0.014540010167185119,-0.030526296206825003,-0.056534690322089305,-0.06611390229009122,-0.03102439494753269,-0.038075012671064966,False,False,False,True
2020-03-20,-0.043189963861587036,-0.014540010167185119,-0.030526296206825003,-0.0549658539374193,-0.06492133818997638,-0.033860121084244056,-0.04140446325634305,True,False,True,True
2020-03-23,-0.03769634780241986,-0.01467502240249015,-0.031087908592596514,-0.0552372005536635,-0.06648930772132344,-0.031259326186762124,-0.037679143519675856,True,False,True,False
2020-03-24,0.10902284390849966,-0.014790613256554603,-0.03153796319092583,-0.05951523032079661,-0.06883371297357865,-0.03243547078249888,-0.04131114958010847,False,False,False,False
2020-03-25,0.031166395374927918,-0.014790613256554603,-0.03153796319092583,-0.049251004139658834,-0.0577607114214692,-0.03444787180255197,-0.04319029420653773,False,False,False,False
2020-03-26,0.06041318483528176,-0.014790613256554603,-0.03153796319092583,-0.052579911677545214,-0.06047920706807953,-0.03450981360038061,-0.0426308318506774,False,False,False,False
