,0
Stress_Period_Returns_Mean,-0.019754087408112363
Stress_Period_Returns_Std,0.052938607923246395
Stress_Period_Worst_Loss,-0.14164207795245634
Historical_VaR_Breaches,12
Historical_VaR_Breach_Rate,50.0
LSTM_VaR_Breaches,3
LSTM_VaR_Breach_Rate,12.5
Pre_Stress_Historical_VaR_Mean,-0.020340897976256673
Stress_Historical_VaR_Mean,-0.01685574067156961
Pre_Stress_LSTM_VaR_Mean,-0.05521075288749495
Stress_LSTM_VaR_Mean,-0.07065679480200489
Historical_VaR_Change_Pct,-17.13374359753037
LSTM_VaR_Change_Pct,27.976510202613845
LSTM_Prediction_MSE,0.002632594124240588
LSTM_Prediction_MAE,0.035337352194801615
LSTM_Prediction_RMSE,0.051308811370373686
Training_Start_Date,2009-11-27 00:00:00
Training_End_Date,2020-01-17 00:00:00
Training_Days,2552
Training_Years,10.126984126984127
