,0
Stress_Period_Returns_Mean,-0.01892280062600332
Stress_Period_Returns_Std,0.05199870846447809
Stress_Period_Worst_Loss,-0.14022143758458938
Historical_VaR_Breaches,13
Historical_VaR_Breach_Rate,54.166666666666664
LSTM_VaR_Breaches,12
LSTM_VaR_Breach_Rate,50.0
Pre_Stress_Historical_VaR_Mean,-0.019618572915681937
Stress_Historical_VaR_Mean,-0.01590168643380771
Pre_Stress_LSTM_VaR_Mean,-0.003309763256778232
Stress_LSTM_VaR_Mean,-0.005680812666089612
Historical_VaR_Change_Pct,-18.945753586914392
LSTM_VaR_Change_Pct,71.63803648057265
LSTM_Prediction_MSE,0.0037239676868627623
LSTM_Prediction_MAE,0.04054390621806392
LSTM_Prediction_RMSE,0.06102432045392035
Training_Start_Date,2009-11-27 00:00:00
Training_End_Date,2020-01-17 00:00:00
Training_Days,2552
Training_Years,10.126984126984127
