,0
Stress_Period_Returns_Mean,-0.0192277086979607
Stress_Period_Returns_Std,0.05226579157815648
Stress_Period_Worst_Loss,-0.13563541612382568
Historical_VaR_Breaches,13
Historical_VaR_Breach_Rate,54.166666666666664
LSTM_VaR_Breaches,9
LSTM_VaR_Breach_Rate,37.5
Pre_Stress_Historical_VaR_Mean,-0.018077781420637568
Stress_Historical_VaR_Mean,-0.014518701764578796
Pre_Stress_LSTM_VaR_Mean,-0.026363509944431093
Stress_LSTM_VaR_Mean,-0.033411748198993056
Historical_VaR_Change_Pct,-19.687590934116127
LSTM_VaR_Change_Pct,26.73482502678215
LSTM_Prediction_MSE,0.002349186320240071
LSTM_Prediction_MAE,0.03257963670190307
LSTM_Prediction_RMSE,0.04846840538165116
Training_Start_Date,2009-11-27 00:00:00
Training_End_Date,2020-01-17 00:00:00
Training_Days,2552
Training_Years,10.126984126984127
