Date,Returns,Historical_VaR,Historical_ES,LSTM_VaR,LSTM_ES,MonteCarlo_VaR,MonteCarlo_ES,Historical_VaR_Breach,LSTM_VaR_Breach,MonteCarlo_VaR_Breach,Is_Stress_Period
2020-01-21,-0.003668287177170985,-0.01220587556179843,-0.020359589700526926,-0.02075765276085225,-0.023129382196216786,-0.011211893882151516,-0.013977676356283473,False,False,False,False
2020-01-22,-0.00046975740384883134,-0.01220587556179843,-0.020359589700526926,-0.018621581442068012,-0.021505321615494538,-0.0110283743909142,-0.014270815586720076,False,False,False,False
2020-01-23,0.00271504079543019,-0.01220587556179843,-0.020359589700526926,-0.017541108950611825,-0.019838909539089202,-0.011374315455314187,-0.014802382529126634,False,False,False,False
2020-01-24,-0.009381203962987935,-0.01220587556179843,-0.020359589700526926,-0.014761827192153585,-0.0172665844535697,-0.011636039705944689,-0.014268165379867904,False,False,False,False
2020-01-27,-0.015351212871287894,-0.01220587556179843,-0.020359589700526926,-0.01586070314871676,-0.019127480414709904,-0.011780223514568424,-0.014469202176029948,True,False,True,False
2020-01-28,0.00874594656371373,-0.01220587556179843,-0.020306805541615652,-0.020869574187979887,-0.02491766844136666,-0.011547890386211051,-0.014682266358348756,False,False,False,False
2020-01-29,-0.003165587698254157,-0.01220587556179843,-0.020306805541615652,-0.015759670790886606,-0.019696337363978824,-0.010971565649854706,-0.014120996633585353,False,False,False,False
2020-01-30,0.0025273547544801367,-0.01220587556179843,-0.020306805541615652,-0.014987855529547171,-0.018877743855420924,-0.010521290636439144,-0.013480528297026674,False,False,False,False
2020-01-31,-0.018137535849158084,-0.01220587556179843,-0.020306805541615652,-0.012914053426886224,-0.016646984321027278,-0.011808492597223032,-0.014921124037740187,True,True,True,False
2020-02-03,0.007010518949252069,-0.012731863683807063,-0.020422106261326206,-0.0177563921600383,-0.024259919757718948,-0.011359822327890765,-0.014542418037263964,False,False,False,False
2020-02-04,0.013870388255814296,-0.012731863683807063,-0.020422106261326206,-0.013846644616493629,-0.01832410771568342,-0.01193115664764422,-0.014952353265684046,False,False,False,False
2020-02-05,0.01167448162971217,-0.01220587556179843,-0.020237721918674057,-0.009259241620604753,-0.013131481995720711,-0.012326003621023098,-0.015311287192471408,False,False,False,False
2020-02-06,0.00015469394532145286,-0.01220587556179843,-0.020237721918674057,-0.013319834163227748,-0.017162873821148124,-0.011403572317016965,-0.015111875659559775,False,False,False,False
2020-02-07,-0.007553129324014344,-0.01220587556179843,-0.020237721918674057,-0.01820429717725579,-0.022301219307631473,-0.011336454638092434,-0.014477964540428006,False,False,False,False
2020-02-10,0.006012611665412073,-0.012091543456876205,-0.02009149908994355,-0.0217990293185444,-0.02627710406090948,-0.011941013406793499,-0.015175956652833366,False,False,False,False
2020-02-11,0.006340657558120825,-0.012044494679233657,-0.019896004252895713,-0.020340991495475674,-0.02433074386468121,-0.011994336649390912,-0.014987918316692434,False,False,False,False
2020-02-12,0.006372770848273347,-0.012044494679233657,-0.019896004252895713,-0.0188040413771026,-0.021553632736194026,-0.011659470792502829,-0.015092751483167466,False,False,False,False
2020-02-13,0.00036992527802649165,-0.012044494679233657,-0.019896004252895713,-0.018170958740632015,-0.02172110017616078,-0.012222478627803745,-0.015223412815113378,False,False,False,False
2020-02-14,0.0013958020337032204,-0.012022295038189397,-0.019830470769350197,-0.01799882453804328,-0.020718152758407674,-0.011527828511757092,-0.014499722441144374,False,False,False,False
2020-02-18,-0.002623030338944588,-0.012022295038189397,-0.019830470769350197,-0.0170859141643102,-0.020656932936406466,-0.012221245370759515,-0.01488734480864017,False,False,False,True
2020-02-19,0.0038309230971145716,-0.012022295038189397,-0.019830470769350197,-0.015551369705279393,-0.017974376284270403,-0.010760157899901361,-0.013724058371784666,False,False,False,True
2020-02-20,-0.0006141060287990557,-0.012022295038189397,-0.019830470769350197,-0.013903783372869669,-0.016396931378743058,-0.011305781449800538,-0.014314735450868579,False,False,False,True
2020-02-21,-0.008814684933525566,-0.012022295038189397,-0.019830470769350197,-0.014397812111952504,-0.017442364081225775,-0.011962236234239866,-0.014983560067446453,False,False,False,True
2020-02-24,-0.029944138335714608,-0.012022295038189397,-0.019830470769350197,-0.014735825300130893,-0.01765899771032859,-0.0117226629208622,-0.015067345290863184,True,True,True,True
2020-02-25,-0.033370233561438534,-0.012044494679233657,-0.02018187137961308,-0.028127282267735903,-0.03496525572923624,-0.011274037965076594,-0.014331544436656915,True,True,True,True
2020-02-26,-0.00940994988038194,-0.012091543456876205,-0.020599793088813954,-0.04980129178611232,-0.06210284820248399,-0.013213622226178938,-0.0162608624294515,False,False,False,True
2020-02-27,-0.03987174264337148,-0.012091543456876205,-0.020599793088813954,-0.049102787421000035,-0.06395091285630045,-0.01194480967291768,-0.015594376032685436,True,False,True,True
2020-02-28,-0.013335396480511453,-0.01220587556179843,-0.021144129996765182,-0.05870454132649153,-0.076922194085517,-0.013432079983221596,-0.016989519631376362,True,False,False,True
2020-03-02,0.03944003012602178,-0.012731863683807063,-0.021165271121012078,-0.05820405102916054,-0.07500502011907231,-0.013990469549456507,-0.018172475550696232,False,False,False,True
2020-03-03,-0.023558057324501742,-0.012731863683807063,-0.021165271121012078,-0.04545345520409955,-0.058369045511525705,-0.014576962023270761,-0.018138261971824676,True,False,True,True
2020-03-04,0.03942084280085134,-0.013001078726464667,-0.02137253788654725,-0.040443054078631226,-0.056424207959180774,-0.015480895760109399,-0.01931502391818587,False,False,False,True
2020-03-05,-0.0345781652619135,-0.013001078726464667,-0.02137253788654725,-0.03285937230629373,-0.04862424036839834,-0.014360605207828989,-0.01857518748579507,True,True,True,True
2020-03-06,-0.020208876813394613,-0.013023678060365418,-0.021795474145749418,-0.03634116016418323,-0.05614888790981104,-0.015258186196418985,-0.019855171959082957,True,False,True,True
2020-03-09,-0.09204025151825097,-0.013199177856750479,-0.021936199258366377,-0.04344200429847014,-0.05678700807462599,-0.014291595740885748,-0.018197107621635435,True,True,True,True
2020-03-10,0.04700146289559433,-0.013319246145095923,-0.023480336490782308,-0.054592819336293126,-0.0707226006289966,-0.018319763854513362,-0.02284042845452147,False,False,False,True
2020-03-11,-0.05665905519065343,-0.013199177856750479,-0.02346499991150819,-0.04744919521390549,-0.06473214992697275,-0.01939910452382541,-0.023894404636143732,True,True,True,True
2020-03-12,-0.10662405712155267,-0.013319246145095923,-0.024315388196324166,-0.058243783200894225,-0.07833311195112433,-0.018663258980042792,-0.024463609949344205,True,True,True,True
