Date,Portfolio,Actual_Returns,LSTM_Predicted_Returns,Historical_VaR,Historical_ES,LSTM_VaR,LSTM_ES,MonteCarlo_VaR,MonteCarlo_ES,Historical_VaR_Breach,LSTM_VaR_Breach,MonteCarlo_VaR_Breach,Historical_ES_Breach,LSTM_ES_Breach,MonteCarlo_ES_Breach
2024-05-22 00:00:00,S&P 500 (Market-Cap-Weight),-0.003776367286061532,-0.0041535062248642465,-0.019159941707563,-0.02884299855186605,-0.015829467295792776,-0.0190741764740795,-0.011860845623707929,-0.015117230613562743,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23 00:00:00,S&P 500 (Market-Cap-Weight),-0.006183781647689263,-0.004549451908826502,-0.019159941707563,-0.02884299855186605,-0.01646266054922711,-0.019831406672794594,-0.012076955794810176,-0.015375589779952932,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24 00:00:00,S&P 500 (Market-Cap-Weight),0.007104095290798584,-0.005279918279516387,-0.019159941707563,-0.02884299855186605,-0.01820821099843854,-0.02212057639091066,-0.011900385529188172,-0.01500157544896243,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28 00:00:00,S&P 500 (Market-Cap-Weight),0.001642221893701251,-0.004682891632284845,-0.019159941707563,-0.02884299855186605,-0.01645178412343983,-0.01902658767842798,-0.01220235505370511,-0.016386335475225375,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29 00:00:00,S&P 500 (Market-Cap-Weight),-0.0066181470873152215,-0.00455922229288838,-0.019159941707563,-0.02884299855186605,-0.016699995814686192,-0.019467583608894053,-0.010706998363625556,-0.014212834109669448,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-30 00:00:00,S&P 500 (Market-Cap-Weight),-0.006605455268071991,-0.004373202523323741,-0.019159941707563,-0.02884299855186605,-0.01701422839032478,-0.0201462529279204,-0.010842321014048072,-0.013701101064758428,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31 00:00:00,S&P 500 (Market-Cap-Weight),0.007485064194913191,-0.005399387579437123,-0.019159941707563,-0.02884299855186605,-0.018970247417421485,-0.022082435702493387,-0.011810238744131922,-0.014684873923906714,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-03 00:00:00,S&P 500 (Market-Cap-Weight),0.0017300326803079602,-0.0043818368044261325,-0.019159941707563,-0.02884299855186605,-0.017216434157054015,-0.020454775532561763,-0.012096234757088896,-0.015167165816018315,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-04 00:00:00,S&P 500 (Market-Cap-Weight),0.002561173729758193,-0.004308530441998759,-0.019159941707563,-0.02884299855186605,-0.017168624320251583,-0.021180141296896222,-0.012177633872302324,-0.015722034818681934,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-05 00:00:00,S&P 500 (Market-Cap-Weight),0.011083187611182774,-0.004014207066721084,-0.019159941707563,-0.02884299855186605,-0.015925601830768032,-0.018869680578619423,-0.011545000955315176,-0.014425058501390076,0.0,0.0,0.0,0.0,0.0,0.0
