,Mean_Weight,Std_Weight,Max_Weight,Min_Weight,Weight_Turnover
A,,,,,
AAPL,,,,,
ABT,,,,,
ACGL,,,,,
ACN,,,,,
ADBE,,,,,
ADI,,,,,
ADM,,,,,
ADP,,,,,
ADSK,,,,,
AEE,,,,,
AEP,,,,,
AES,,,,,
AFL,,,,,
AIG,,,,,
AIZ,,,,,
AJG,,,,,
AKAM,,,,,
ALB,,,,,
ALGN,,,,,
ALL,,,,,
AMAT,,,,,
AMD,,,,,
AME,,,,,
AMGN,,,,,
AMP,,,,,
AMT,,,,,
AMZN,,,,,
ANSS,,,,,
AON,,,,,
AOS,,,,,
APA,,,,,
APD,,,,,
APH,,,,,
ARE,,,,,
ATO,,,,,
AVB,,,,,
AVGO,,,,,
AVY,,,,,
AWK,,,,,
AXON,,,,,
AXP,,,,,
AZO,,,,,
BA,,,,,
BAC,,,,,
BALL,,,,,
BAX,,,,,
BBY,,,,,
BDX,,,,,
BEN,,,,,
BG,,,,,
BIIB,,,,,
BK,,,,,
BKNG,,,,,
BKR,,,,,
BLDR,,,,,
BLK,,,,,
BMY,,,,,
BR,,,,,
BRO,,,,,
BSX,,,,,
BWA,,,,,
BX,,,,,
BXP,,,,,
C,,,,,
CAG,,,,,
CAH,,,,,
CAT,,,,,
CB,,,,,
CBOE,,,,,
CBRE,,,,,
CCI,,,,,
CCL,,,,,
CDNS,,,,,
CE,,,,,
CF,,,,,
CHD,,,,,
CHRW,,,,,
CHTR,,,,,
CI,,,,,
CINF,,,,,
CL,,,,,
CLX,,,,,
CMCSA,,,,,
CME,,,,,
CMG,,,,,
CMI,,,,,
CMS,,,,,
CNC,,,,,
CNP,,,,,
COF,,,,,
COO,,,,,
COP,,,,,
COR,,,,,
COST,,,,,
CPB,,,,,
CPRT,,,,,
CPT,,,,,
CRL,,,,,
CRM,,,,,
CSCO,,,,,
CSGP,,,,,
CSX,,,,,
CTAS,,,,,
CTRA,,,,,
CTSH,,,,,
CVS,,,,,
CVX,,,,,
D,,,,,
DAL,,,,,
DD,,,,,
DE,,,,,
DECK,,,,,
DFS,,,,,
DG,,,,,
DGX,,,,,
