Portfolio: PCA Portfolio 4

Portfolio Statistics:
Annual_Return                 0.163399
Annual_Volatility             0.108206
Sharpe_Ratio                  1.510075
Historical_VaR_Breach_Rate    0.793651
LSTM_VaR_Breach_Rate          4.761905
MonteCarlo_VaR_Breach_Rate    2.380952
Skewness                     -0.109665
Excess_Kurtosis               0.431822
Max_Drawdown                 -0.022813
VaR_95_Historical            -0.009798

Risk Metrics Summary:
Historical_VaR_Breach_Rate              0.793651
LSTM_VaR_Breach_Rate                    4.761905
MonteCarlo_VaR_Breach_Rate              2.380952
Avg_Historical_VaR                     -0.015960
Avg_Historical_ES                      -0.022658
Avg_LSTM_VaR                           -0.012309
Avg_LSTM_ES                            -0.015619
Avg_MonteCarlo_VaR                     -0.011284
Avg_MonteCarlo_ES                      -0.014301
LSTM_Prediction_MAE                     0.005986
LSTM_Prediction_MSE                     0.000063
LSTM_Prediction_Std                     0.002896
Actual_Returns_Std                      0.006816
LSTM_VaR_Coverage_Ratio                 0.952381
MonteCarlo_VaR_Coverage_Ratio           0.476190
Historical_VaR_Coverage_Ratio           0.158730
LSTM_ES_vs_Historical_ES_Ratio          0.689345
MonteCarlo_ES_vs_Historical_ES_Ratio    0.631171

Portfolio Composition:
       Stock    Weight  Risk_Contribution  Expected_Shortfall_Contribution  Weight_Percentage
AMZN    AMZN  0.001623       3.340264e-05                    -7.169526e-05           0.162290
EFX      EFX  0.001597       2.692006e-05                    -6.949168e-05           0.159701
DE        DE  0.001597       2.820883e-05                    -6.874348e-05           0.159656
DD        DD  0.001593       3.120668e-05                    -7.031953e-05           0.159253
UNP      UNP  0.001580       2.475828e-05                    -6.331275e-05           0.157996
LOW      LOW  0.001576       2.752621e-05                    -6.917318e-05           0.157595
HBAN    HBAN  0.001561       3.338746e-05                    -7.057431e-05           0.156114
BKR      BKR  0.001550       3.712682e-05                    -6.906242e-05           0.155028
PODD    PODD  0.001549       3.980276e-05                    -7.110058e-05           0.154867
ES        ES  0.001548       2.083458e-05                    -6.419873e-05           0.154791
LKQ      LKQ  0.001546       3.088949e-05                    -7.161414e-05           0.154641
NRG      NRG  0.001543       3.422292e-05                    -7.158245e-05           0.154289
AIZ      AIZ  0.001538       2.505148e-05                    -7.004097e-05           0.153753
CSGP    CSGP  0.001536       2.966478e-05                    -6.673635e-05           0.153627
AEE      AEE  0.001533       2.008369e-05                    -6.601516e-05           0.153284
ADBE    ADBE  0.001532       3.088417e-05                    -7.005923e-05           0.153240
C          C  0.001500       3.231532e-05                    -6.861101e-05           0.150012
HAS      HAS  0.001498       2.824409e-05                    -6.856929e-05           0.149836
GPN      GPN  0.001493       2.847657e-05                    -6.847732e-05           0.149329
CSX      CSX  0.001485       2.586798e-05                    -6.109116e-05           0.148457
CF        CF  0.001480       3.661861e-05                    -6.494034e-05           0.147988
BLK      BLK  0.001476       2.560384e-05                    -6.170886e-05           0.147596
NDAQ    NDAQ  0.001475       2.342062e-05                    -5.946384e-05           0.147506
GEN      GEN  0.001456       2.897503e-05                    -6.794617e-05           0.145640
ISRG    ISRG  0.001436       2.868042e-05                    -6.475059e-05           0.143564
MU        MU  0.001431       4.240805e-05                    -6.645354e-05           0.143111
YUM      YUM  0.001431       2.130291e-05                    -6.292043e-05           0.143061
TGT      TGT  0.001419       2.496473e-05                    -6.272824e-05           0.141894
FSLR    FSLR  0.001409       4.691075e-05                    -7.130739e-05           0.140865
CMCSA  CMCSA  0.001403       2.159477e-05                    -5.870017e-05           0.140338
NKE      NKE  0.001397       2.457059e-05                    -6.144619e-05           0.139722
TEL      TEL  0.001389       2.322743e-05                    -5.671083e-05           0.138897
HON      HON  0.001387       1.996528e-05                    -5.875625e-05           0.138676
BG        BG  0.001344       2.463114e-05                    -6.324516e-05           0.134366
DHR      DHR  0.001330       2.171086e-05                    -5.248262e-05           0.133023
TSCO    TSCO  0.001329       2.419924e-05                    -5.602240e-05           0.132922
WTW      WTW  0.001315       1.851475e-05                    -6.218047e-05           0.131451
APH      APH  0.001301       2.050562e-05                    -5.440796e-05           0.130129
KKR      KKR  0.001294       2.751586e-05                    -5.731092e-05           0.129443
HD        HD  0.001286       1.888909e-05                    -5.506178e-05           0.128563
RMD      RMD  0.001285       2.460761e-05                    -6.186978e-05           0.128544
DXCM    DXCM  0.001238       3.777024e-05                    -6.060432e-05           0.123775
STE      STE  0.001229       1.943606e-05                    -5.152528e-05           0.122861
CTAS    CTAS  0.001226       1.938332e-05                    -5.382075e-05           0.122612
WBD      WBD  0.001209       3.000028e-05                    -5.541777e-05           0.120851
TYL      TYL  0.001202       2.165338e-05                    -5.001603e-05           0.120195
AOS      AOS  0.001195       2.054972e-05                    -4.677518e-05           0.119536
TROW    TROW  0.001190       2.146561e-05                    -5.114574e-05           0.119040
EL        EL  0.001188       2.293105e-05                    -5.280032e-05           0.118790
OXY      OXY  0.001182       3.256839e-05                    -5.801055e-05           0.118185
UHS      UHS  0.001173       2.417764e-05                    -5.467207e-05           0.117290
WST      WST  0.001167       2.043857e-05                    -5.015055e-05           0.116668
DIS      DIS  0.001157       1.900910e-05                    -4.907701e-05           0.115688
GOOGL  GOOGL  0.001155       1.972765e-05                    -4.943427e-05           0.115497
BR        BR  0.001150       1.612343e-05                    -4.759379e-05           0.114961
JBHT    JBHT  0.001136       1.870642e-05                    -4.712466e-05           0.113608
TFC      TFC  0.001132       2.213843e-05                    -5.083195e-05           0.113242
AXP      AXP  0.001123       2.039605e-05                    -4.842324e-05           0.112285
MLM      MLM  0.001119       2.157975e-05                    -4.628107e-05           0.111884
RF        RF  0.001118       2.636257e-05                    -5.199004e-05           0.111807
FDS      FDS  0.001111       1.739677e-05                    -4.918363e-05           0.111060
EMN      EMN  0.001105       2.093749e-05                    -4.654981e-05           0.110531
FTNT    FTNT  0.001097       2.868003e-05                    -5.302001e-05           0.109700
HUBB    HUBB  0.001093       1.819102e-05                    -4.724999e-05           0.109292
ACGL    ACGL  0.001084       1.624169e-05                    -4.856996e-05           0.108361
GOOG    GOOG  0.001079       1.844484e-05                    -4.622199e-05           0.107897
CRL      CRL  0.001076       2.171780e-05                    -4.902416e-05           0.107628
LYB      LYB  0.001059       2.321110e-05                    -4.863471e-05           0.105923
SWK      SWK  0.001056       2.133948e-05                    -4.813528e-05           0.105625
POOL    POOL  0.001053       1.931842e-05                    -4.535223e-05           0.105255
JNPR    JNPR  0.001039       2.046200e-05                    -4.680071e-05           0.103921
TMUS    TMUS  0.001028       2.288861e-05                    -4.997161e-05           0.102826
TFX      TFX  0.001011       1.685478e-05                    -4.320389e-05           0.101142
SYK      SYK  0.000991       1.513732e-05                    -4.213420e-05           0.099119
EBAY    EBAY  0.000991       1.869159e-05                    -4.210496e-05           0.099116
EA        EA  0.000979       1.941785e-05                    -4.139361e-05           0.097864
ORLY    ORLY  0.000956       1.530808e-05                    -4.390408e-05           0.095635
ADP      ADP  0.000949       1.304308e-05                    -4.046617e-05           0.094912
MTD      MTD  0.000927       1.599957e-05                    -3.816568e-05           0.092668
CBOE    CBOE  0.000926       1.423259e-05                    -3.931636e-05           0.092599
KEY      KEY  0.000904       2.148458e-05                    -4.156206e-05           0.090355
WEC      WEC  0.000900       1.142780e-05                    -3.777651e-05           0.089965
BALL    BALL  0.000893       1.428260e-05                    -3.734941e-05           0.089251
MA        MA  0.000883       1.517570e-05                    -3.714808e-05           0.088279
ALB      ALB  0.000882       2.237690e-05                    -4.270125e-05           0.088172
NEM      NEM  0.000879       1.958601e-05                    -3.850735e-05           0.087877
VMC      VMC  0.000873       1.751296e-05                    -3.734570e-05           0.087286
DOV      DOV  0.000857       1.440097e-05                    -3.568799e-05           0.085736
NFLX    NFLX  0.000846       2.678282e-05                    -4.339103e-05           0.084567
AAPL    AAPL  0.000839       1.476803e-05                    -3.519244e-05           0.083947
COF      COF  0.000835       1.798685e-05                    -3.863010e-05           0.083504
ED        ED  0.000823       9.753803e-06                    -3.487680e-05           0.082327
TECH    TECH  0.000820       1.419320e-05                    -3.293356e-05           0.082023
ICE      ICE  0.000814       1.211619e-05                    -3.296192e-05           0.081379
MSCI    MSCI  0.000811       1.558161e-05                    -3.526717e-05           0.081053
NTAP    NTAP  0.000801       1.694322e-05                    -3.533036e-05           0.080059
FI        FI  0.000799       1.176411e-05                    -3.334413e-05           0.079875
FCX      FCX  0.000798       2.480862e-05                    -3.927399e-05           0.079762
GLW      GLW  0.000798       1.497596e-05                    -3.461950e-05           0.079751
AVY      AVY  0.000787       1.342204e-05                    -3.410906e-05           0.078719
SHW      SHW  0.000761       1.187793e-05                    -3.269180e-05           0.076070
AFL      AFL  0.000759       1.271966e-05                    -3.386506e-05           0.075919
HOLX    HOLX  0.000750       1.317230e-05                    -3.323753e-05           0.075027
GPC      GPC  0.000747       1.179445e-05                    -3.274424e-05           0.074740
FFIV    FFIV  0.000739       1.589667e-05                    -3.431863e-05           0.073905
FIS      FIS  0.000738       1.266592e-05                    -3.354785e-05           0.073794
BBY      BBY  0.000718       1.764604e-05                    -3.447479e-05           0.071781
MCD      MCD  0.000713       8.335993e-06                    -3.177580e-05           0.071257
DPZ      DPZ  0.000701       1.315924e-05                    -3.014769e-05           0.070097
TXT      TXT  0.000695       1.505244e-05                    -3.237318e-05           0.069526
VLO      VLO  0.000689       1.679097e-05                    -3.128751e-05           0.068862
ZBRA    ZBRA  0.000686       1.555372e-05                    -3.231771e-05           0.068633
COO      COO  0.000682       1.141839e-05                    -2.985733e-05           0.068156
VRSK    VRSK  0.000669       9.253357e-06                    -2.914747e-05           0.066865
HIG      HIG  0.000663       1.334166e-05                    -2.913673e-05           0.066312
VRSN    VRSN  0.000663       1.085512e-05                    -2.947198e-05           0.066312
IVZ      IVZ  0.000660       1.525080e-05                    -3.022843e-05           0.066039
BSX      BSX  0.000656       1.175779e-05                    -2.934712e-05           0.065563
INTC    INTC  0.000653       1.330217e-05                    -3.005072e-05           0.065342
MNST    MNST  0.000638       1.231022e-05                    -2.879626e-05           0.063760
SNA      SNA  0.000634       1.039287e-05                    -2.748131e-05           0.063414
PAYX    PAYX  0.000629       8.841103e-06                    -2.610151e-05           0.062915
FDX      FDX  0.000623       1.179188e-05                    -2.791826e-05           0.062263
APA      APA  0.000612       2.008987e-05                    -3.033175e-05           0.061184
RVTY    RVTY  0.000607       1.059847e-05                    -2.558539e-05           0.060672
MOS      MOS  0.000596       1.559999e-05                    -2.798470e-05           0.059634
MDT      MDT  0.000589       8.318390e-06                    -2.496273e-05           0.058932
AIG      AIG  0.000588       1.287190e-05                    -2.800640e-05           0.058796
EW        EW  0.000574       1.208892e-05                    -2.806102e-05           0.057382
OMC      OMC  0.000570       8.956406e-06                    -2.432089e-05           0.057016
FITB    FITB  0.000541       1.195848e-05                    -2.506376e-05           0.054072
MAS      MAS  0.000522       1.073065e-05                    -2.311414e-05           0.052239
TT        TT  0.000516       8.940878e-06                    -2.168172e-05           0.051634
MSI      MSI  0.000511       8.007157e-06                    -2.180873e-05           0.051145
FMC      FMC  0.000510       9.968491e-06                    -2.193537e-05           0.051034
ODFL    ODFL  0.000499       9.648964e-06                    -2.118611e-05           0.049875
TXN      TXN  0.000490       8.340246e-06                    -1.959220e-05           0.049044
ACN      ACN  0.000482       7.337703e-06                    -2.024137e-05           0.048158
ROK      ROK  0.000481       9.209575e-06                    -2.075226e-05           0.048116
TDY      TDY  0.000475       8.040283e-06                    -2.080729e-05           0.047528
ATO      ATO  0.000471       6.044182e-06                    -1.959224e-05           0.047061
WAB      WAB  0.000460       8.692827e-06                    -1.996535e-05           0.045965
PH        PH  0.000450       8.522735e-06                    -1.931948e-05           0.044992
ZBH      ZBH  0.000437       7.061412e-06                    -1.886537e-05           0.043694
TTWO    TTWO  0.000412       9.397527e-06                    -1.877996e-05           0.041153
URI      URI  0.000410       1.165904e-05                    -1.937261e-05           0.041003
ECL      ECL  0.000387       5.688460e-06                    -1.689303e-05           0.038670
HPQ      HPQ  0.000366       7.840511e-06                    -1.740863e-05           0.036568
NDSN    NDSN  0.000326       6.065337e-06                    -1.491367e-05           0.032566
V          V  0.000324       5.103234e-06                    -1.370364e-05           0.032376
KDP      KDP  0.000322       4.409846e-06                    -1.274715e-05           0.032173
MSFT    MSFT  0.000321       5.168504e-06                    -1.298126e-05           0.032088
JCI      JCI  0.000301       4.820726e-06                    -1.281152e-05           0.030147
IPG      IPG  0.000300       6.141597e-06                    -1.351406e-05           0.030024
RTX      RTX  0.000288       4.511777e-06                    -1.315382e-05           0.028823
D          D  0.000283       3.716765e-06                    -1.220414e-05           0.028331
MKTX    MKTX  0.000258       5.418753e-06                    -1.155991e-05           0.025781
IFF      IFF  0.000257       4.373050e-06                    -1.244362e-05           0.025673
BWA      BWA  0.000237       5.025820e-06                    -1.045810e-05           0.023707
CE        CE  0.000214       4.652553e-06                    -9.954624e-06           0.021422
AZO      AZO  0.000206       3.040778e-06                    -9.985886e-06           0.020594
LH        LH  0.000194       2.992762e-06                    -8.961825e-06           0.019410
STZ      STZ  0.000188       3.318160e-06                    -8.783667e-06           0.018803
PNR      PNR  0.000187       3.359557e-06                    -7.586198e-06           0.018699
STX      STX  0.000173       4.459369e-06                    -8.061319e-06           0.017339
CHTR    CHTR  0.000165       3.091974e-06                    -7.104378e-06           0.016470
GE        GE  0.000165       3.250782e-06                    -7.313134e-06           0.016462
CTSH    CTSH  0.000123       2.274648e-06                    -5.700212e-06           0.012318
WMB      WMB  0.000112       2.683385e-06                    -5.845078e-06           0.011230
GRMN    GRMN  0.000082       1.425071e-06                    -3.568390e-06           0.008185
PWR      PWR  0.000079       1.629492e-06                    -3.561117e-06           0.007888
MCO      MCO  0.000052       9.453434e-07                    -2.359192e-06           0.005230
SPGI    SPGI  0.000046       7.432754e-07                    -2.120590e-06           0.004635
DLTR    DLTR  0.000042       8.281827e-07                    -2.144526e-06           0.004171
TSN      TSN  0.000036       6.437474e-07                    -1.639917e-06           0.003628
PPG      PPG  0.000010       1.577056e-07                    -4.160154e-07           0.000983
