Date,Portfolio,Actual_Returns,LSTM_Predicted_Returns,Historical_VaR,Historical_ES,LSTM_VaR,LSTM_ES,Historical_VaR_Breach,LSTM_VaR_Breach,Historical_ES_Breach,LSTM_ES_Breach
2024-05-22 00:00:00,PCA Portfolio 3,-0.0037941097224775166,-0.0018520139583133892,-0.013439506651256044,-0.015459791588604102,-0.01412749455045564,-0.017832677192459945,0.0,0.0,0.0,0.0
2024-05-23 00:00:00,PCA Portfolio 3,-0.01421746594923546,-0.0020610083619943898,-0.013769681684553415,-0.015513313804360008,-0.013689993803758498,-0.016922202085046627,1.0,1.0,0.0,0.0
2024-05-24 00:00:00,PCA Portfolio 3,0.0057960096860198524,-0.001320046593669536,-0.013769681684553415,-0.015513313804360008,-0.014994634741399362,-0.018778852915278824,0.0,0.0,0.0,0.0
2024-05-28 00:00:00,PCA Portfolio 3,-0.005668911261233562,-0.0016237618372125311,-0.013769681684553415,-0.015513313804360008,-0.014180252280398285,-0.01759624665412385,0.0,0.0,0.0,0.0
2024-05-29 00:00:00,PCA Portfolio 3,-0.011074472467926894,-0.0016765085140245054,-0.013769681684553415,-0.015513313804360008,-0.0155035958113596,-0.01889599656662278,0.0,0.0,0.0,0.0
2024-05-30 00:00:00,PCA Portfolio 3,0.00031597185954337876,-0.0012507690104850604,-0.013769681684553415,-0.015513313804360008,-0.015459442935537367,-0.018723578309307747,0.0,0.0,0.0,0.0
2024-05-31 00:00:00,PCA Portfolio 3,0.0132814398072489,-0.0013907315983091942,-0.013769681684553415,-0.015513313804360008,-0.01543080501372297,-0.01901164867924367,0.0,0.0,0.0,0.0
2024-06-03 00:00:00,PCA Portfolio 3,-0.005443997860131368,-0.0020463031235348245,-0.013769681684553415,-0.015513313804360008,-0.0152665453720441,-0.018804402459382846,0.0,0.0,0.0,0.0
2024-06-04 00:00:00,PCA Portfolio 3,-0.0023817962422552712,-0.0019256766536339016,-0.013769681684553415,-0.015513313804360008,-0.015481763926531097,-0.018682278427159908,0.0,0.0,0.0,0.0
2024-06-05 00:00:00,PCA Portfolio 3,0.00687853990334407,-0.0011905101347238416,-0.013769681684553415,-0.015513313804360008,-0.015076658620142812,-0.01804211622883322,0.0,0.0,0.0,0.0
2024-06-06 00:00:00,PCA Portfolio 3,-0.0012247182874151681,-0.0017096162223846512,-0.013769681684553415,-0.015513313804360008,-0.014647910543835733,-0.01850134669583694,0.0,0.0,0.0,0.0
2024-06-07 00:00:00,PCA Portfolio 3,-0.0029978575508181077,-0.0021568552210792934,-0.013769681684553415,-0.015513313804360008,-0.015124486414233723,-0.018664500451783392,0.0,0.0,0.0,0.0
2024-06-10 00:00:00,PCA Portfolio 3,0.002283508161685307,-0.0016345421237070686,-0.013769681684553415,-0.015513313804360008,-0.014929720374168884,-0.018036039347894016,0.0,0.0,0.0,0.0
2024-06-11 00:00:00,PCA Portfolio 3,-0.004196094890820544,-0.0017618711141871427,-0.013769681684553415,-0.015513313804360008,-0.014564633136212988,-0.017285120846555094,0.0,0.0,0.0,0.0
2024-06-12 00:00:00,PCA Portfolio 3,0.006602272288159188,-0.0018326102299935578,-0.013769681684553415,-0.015513313804360008,-0.014684836786857875,-0.0179118089936291,0.0,0.0,0.0,0.0
2024-06-13 00:00:00,PCA Portfolio 3,-0.0035431287336238006,-0.0022917805684925475,-0.013769681684553415,-0.015513313804360008,-0.014580050016834366,-0.017502014785439036,0.0,0.0,0.0,0.0
2024-06-14 00:00:00,PCA Portfolio 3,-0.0047005365374053944,-0.0017346569471048839,-0.013769681684553415,-0.015513313804360008,-0.015071272038799492,-0.018161945819753098,0.0,0.0,0.0,0.0
2024-06-17 00:00:00,PCA Portfolio 3,0.007132812517537337,-0.0016637349462896907,-0.013769681684553415,-0.015513313804360008,-0.013494722752990969,-0.017459918126404822,0.0,0.0,0.0,0.0
2024-06-18 00:00:00,PCA Portfolio 3,0.0031211389730883407,-0.0020161131756584235,-0.013769681684553415,-0.015513313804360008,-0.014098082639969391,-0.017408275676740574,0.0,0.0,0.0,0.0
2024-06-20 00:00:00,PCA Portfolio 3,0.0010473979864569448,-0.0025713684789902833,-0.013769681684553415,-0.015513313804360008,-0.01488628278999813,-0.018170907791215996,0.0,0.0,0.0,0.0
2024-06-21 00:00:00,PCA Portfolio 3,0.001342228596399161,-0.003085159192813545,-0.013769681684553415,-0.015513313804360008,-0.015727565684661774,-0.01939004108198728,0.0,0.0,0.0,0.0
2024-06-24 00:00:00,PCA Portfolio 3,0.00411228124931395,-0.002441820695633281,-0.013769681684553415,-0.015513313804360008,-0.015300014639133986,-0.018735870636715973,0.0,0.0,0.0,0.0
2024-06-25 00:00:00,PCA Portfolio 3,-0.0050537352691524115,-0.0027932275272293076,-0.013769681684553415,-0.015513313804360008,-0.014674982340146156,-0.018175082676552066,0.0,0.0,0.0,0.0
2024-06-26 00:00:00,PCA Portfolio 3,-0.002864890001270383,-0.002337077025256435,-0.013769681684553415,-0.015513313804360008,-0.01484069717188942,-0.01845183707293076,0.0,0.0,0.0,0.0
2024-06-27 00:00:00,PCA Portfolio 3,0.002173825826501407,-0.0012832668446755876,-0.013769681684553415,-0.015513313804360008,-0.014463005233104238,-0.01798055794641549,0.0,0.0,0.0,0.0
2024-06-28 00:00:00,PCA Portfolio 3,0.002016946659027176,-0.0012629158949754226,-0.013769681684553415,-0.015513313804360008,-0.013170934805444418,-0.015893080552749513,0.0,0.0,0.0,0.0
2024-07-01 00:00:00,PCA Portfolio 3,-0.005559818493750774,-0.002145999647841526,-0.013769681684553415,-0.015513313804360008,-0.01443940068737772,-0.016717218498482986,0.0,0.0,0.0,0.0
2024-07-02 00:00:00,PCA Portfolio 3,0.004852854330040976,-0.0015465230239831915,-0.013769681684553415,-0.015513313804360008,-0.014222523861332608,-0.01713380330416996,0.0,0.0,0.0,0.0
2024-07-03 00:00:00,PCA Portfolio 3,0.0003428640161363926,-0.002256611652333562,-0.013769681684553415,-0.015513313804360008,-0.01523066998052093,-0.017894020293877842,0.0,0.0,0.0,0.0
2024-07-05 00:00:00,PCA Portfolio 3,-0.0009914978679024969,-0.0027710951511869344,-0.013769681684553415,-0.015513313804360008,-0.01457885145645841,-0.017944003323414285,0.0,0.0,0.0,0.0
2024-07-08 00:00:00,PCA Portfolio 3,0.001591946662362734,-0.0024031723936698097,-0.013769681684553415,-0.015513313804360008,-0.014911449044907507,-0.01795027521524989,0.0,0.0,0.0,0.0
2024-07-09 00:00:00,PCA Portfolio 3,-0.0013607272678438811,-0.0020137418205681237,-0.013769681684553415,-0.015513313804360008,-0.015003450352806137,-0.018142579528031166,0.0,0.0,0.0,0.0
2024-07-10 00:00:00,PCA Portfolio 3,0.008896118584914674,-0.0021024264524377107,-0.013769681684553415,-0.015513313804360008,-0.01521913761143157,-0.01879929284223904,0.0,0.0,0.0,0.0
2024-07-11 00:00:00,PCA Portfolio 3,0.008550980484944515,-0.0028096336273850655,-0.013769681684553415,-0.015513313804360008,-0.014880943729892751,-0.01829818287893054,0.0,0.0,0.0,0.0
2024-07-12 00:00:00,PCA Portfolio 3,0.007005397018000743,-0.0037779889776030535,-0.013769681684553415,-0.015513313804360008,-0.016843944384759234,-0.01962172552744637,0.0,0.0,0.0,0.0
2024-07-15 00:00:00,PCA Portfolio 3,0.002967003583286441,-0.0046867457452139175,-0.013769681684553415,-0.015513313804360008,-0.01744589776027871,-0.020633000531113558,0.0,0.0,0.0,0.0
2024-07-16 00:00:00,PCA Portfolio 3,0.015164998852207984,-0.004204239493993457,-0.013769681684553415,-0.015513313804360008,-0.018125813426673784,-0.02199921700789306,0.0,0.0,0.0,0.0
2024-07-17 00:00:00,PCA Portfolio 3,-0.005527653986006865,-0.004933145343835476,-0.013769681684553415,-0.015513313804360008,-0.01851535680715476,-0.021735069564306785,0.0,0.0,0.0,0.0
2024-07-18 00:00:00,PCA Portfolio 3,-0.009824583885749963,-0.0033387507600160763,-0.013769681684553415,-0.015513313804360008,-0.016016097948926656,-0.019952570389586113,0.0,0.0,0.0,0.0
2024-07-19 00:00:00,PCA Portfolio 3,-0.00740128763463105,-0.0016389604400065434,-0.013769681684553415,-0.015513313804360008,-0.01448706705949997,-0.01793672373855022,0.0,0.0,0.0,0.0
2024-07-22 00:00:00,PCA Portfolio 3,0.009592272161372309,-0.0008542611528963488,-0.013769681684553415,-0.015513313804360008,-0.013202300265657795,-0.016722616563769128,0.0,0.0,0.0,0.0
2024-07-23 00:00:00,PCA Portfolio 3,-0.003535854528031987,-0.0011273538094819168,-0.013769681684553415,-0.015513313804360008,-0.0135356004094735,-0.015936441983396082,0.0,0.0,0.0,0.0
2024-07-24 00:00:00,PCA Portfolio 3,-0.01330680478795597,-0.0019389227598855222,-0.013769681684553415,-0.015513313804360008,-0.01453104165662909,-0.017078374128910525,0.0,0.0,0.0,0.0
2024-07-25 00:00:00,PCA Portfolio 3,-0.0006491184981776899,-0.002192364339724861,-0.013769681684553415,-0.015513313804360008,-0.01614875601978241,-0.019650587355914587,0.0,0.0,0.0,0.0
2024-07-26 00:00:00,PCA Portfolio 3,0.01132912275707387,-0.0015097001182927724,-0.013769681684553415,-0.015513313804360008,-0.015531394536199068,-0.01877259960699149,0.0,0.0,0.0,0.0
2024-07-29 00:00:00,PCA Portfolio 3,0.0013394197244639518,-0.0019173608412776455,-0.013769681684553415,-0.015513313804360008,-0.015388220828992449,-0.01912048148584367,0.0,0.0,0.0,0.0
2024-07-30 00:00:00,PCA Portfolio 3,0.003475571815446484,-0.0029338553357756473,-0.013769681684553415,-0.015513313804360008,-0.016247877622018,-0.019818999650495005,0.0,0.0,0.0,0.0
2024-07-31 00:00:00,PCA Portfolio 3,0.006740533606745709,-0.0028827862135623735,-0.013769681684553415,-0.015513313804360008,-0.01633376939907946,-0.020346011735999776,0.0,0.0,0.0,0.0
2024-08-01 00:00:00,PCA Portfolio 3,-0.014367200195361165,-0.0030402016133291533,-0.014081472200609645,-0.01553596010056238,-0.0157442455263661,-0.018966330768753745,1.0,0.0,0.0,0.0
2024-08-02 00:00:00,PCA Portfolio 3,-0.02142145523269167,-0.0022889990226199705,-0.014122616786460257,-0.01609975868922961,-0.01640719354729734,-0.020339275762894078,1.0,1.0,1.0,1.0
2024-08-05 00:00:00,PCA Portfolio 3,-0.025051857117937126,-0.0027431657169803263,-0.014164586876620682,-0.016937597900446903,-0.01956945769776708,-0.023776717023088062,1.0,1.0,1.0,1.0
2024-08-06 00:00:00,PCA Portfolio 3,0.010456401220333752,-0.005895439280303072,-0.014164586876620682,-0.016937597900446903,-0.02907635938730299,-0.03560580717675537,0.0,0.0,0.0,0.0
2024-08-07 00:00:00,PCA Portfolio 3,-0.008741396545783273,-0.0034602442122280653,-0.014164586876620682,-0.016937597900446903,-0.023927769620990826,-0.029381205942087204,0.0,0.0,0.0,0.0
2024-08-08 00:00:00,PCA Portfolio 3,0.021737797064988136,-0.0025996152691707608,-0.014164586876620682,-0.016937597900446903,-0.024642645761209864,-0.03028730610193955,0.0,0.0,0.0,0.0
2024-08-09 00:00:00,PCA Portfolio 3,0.002033115803714141,-0.0013719560068095498,-0.014164586876620682,-0.016937597900446903,-0.019715575065067506,-0.025033997962218467,0.0,0.0,0.0,0.0
2024-08-12 00:00:00,PCA Portfolio 3,-0.002785306601983882,-0.002922635788475037,-0.014164586876620682,-0.016937597900446903,-0.023484431139124233,-0.02850369539560312,0.0,0.0,0.0,0.0
2024-08-13 00:00:00,PCA Portfolio 3,0.011169466103733589,-0.0019684692147488633,-0.014164586876620682,-0.016937597900446903,-0.022495705736794592,-0.02812963251327913,0.0,0.0,0.0,0.0
2024-08-14 00:00:00,PCA Portfolio 3,0.0015731110935602454,-0.0004653850774239375,-0.014164586876620682,-0.016937597900446903,-0.019729016663814054,-0.024532280089597874,0.0,0.0,0.0,0.0
2024-08-15 00:00:00,PCA Portfolio 3,0.015062927054829159,-0.0003125338301440424,-0.014127256290968627,-0.016937597900446903,-0.017447108432852187,-0.021253698723714364,0.0,0.0,0.0,0.0
2024-08-16 00:00:00,PCA Portfolio 3,0.0030209129840843164,-0.0024752644265832124,-0.014127256290968627,-0.016937597900446903,-0.01767019472277427,-0.021394089890383654,0.0,0.0,0.0,0.0
2024-08-19 00:00:00,PCA Portfolio 3,0.007999402922328057,-0.002949184282454793,-0.014127256290968627,-0.016937597900446903,-0.017959584376912033,-0.02119164423769495,0.0,0.0,0.0,0.0
2024-08-20 00:00:00,PCA Portfolio 3,-0.005923188214490069,-0.0032961188792461978,-0.014127256290968627,-0.016937597900446903,-0.017108522116850253,-0.021339174458768276,0.0,0.0,0.0,0.0
2024-08-21 00:00:00,PCA Portfolio 3,0.005761244016386173,-0.0019033593347914744,-0.014127256290968627,-0.016937597900446903,-0.016789580118808378,-0.020289176467123388,0.0,0.0,0.0,0.0
2024-08-22 00:00:00,PCA Portfolio 3,-0.004591221714539361,-0.0016074258811682655,-0.014127256290968627,-0.016937597900446903,-0.01371715119617927,-0.01696564543203239,0.0,0.0,0.0,0.0
2024-08-23 00:00:00,PCA Portfolio 3,0.012750564864248326,-0.001309005624193126,-0.014127256290968627,-0.016937597900446903,-0.013153770011506534,-0.016281028779301012,0.0,0.0,0.0,0.0
2024-08-26 00:00:00,PCA Portfolio 3,-0.0010668657655071914,-0.0026753969242099634,-0.014127256290968627,-0.016937597900446903,-0.01520980239385223,-0.017933226313689692,0.0,0.0,0.0,0.0
2024-08-27 00:00:00,PCA Portfolio 3,0.0007224178895230061,-0.00312220956835325,-0.014127256290968627,-0.016937597900446903,-0.015089378368460478,-0.018918490132241304,0.0,0.0,0.0,0.0
2024-08-28 00:00:00,PCA Portfolio 3,-0.0036462578241167605,-0.0031661339533145894,-0.014127256290968627,-0.016937597900446903,-0.01654792442075128,-0.01998840687329688,0.0,0.0,0.0,0.0
2024-08-29 00:00:00,PCA Portfolio 3,0.004154665544027436,-0.002072648092312348,-0.014127256290968627,-0.016937597900446903,-0.014621802522451351,-0.017578221274394578,0.0,0.0,0.0,0.0
2024-08-30 00:00:00,PCA Portfolio 3,0.007536920947505568,-0.0018653565791065638,-0.014127256290968627,-0.016937597900446903,-0.014511739419591465,-0.01781841946449741,0.0,0.0,0.0,0.0
2024-09-03 00:00:00,PCA Portfolio 3,-0.017430178197701537,-0.0027139993044188486,-0.014191501237327958,-0.01718836104010618,-0.015117319009142146,-0.017950748083690862,1.0,1.0,1.0,0.0
2024-09-04 00:00:00,PCA Portfolio 3,-0.0015844706098242032,-0.0025859505931752212,-0.014191501237327958,-0.01718836104010618,-0.01669892175604653,-0.020142552108893486,0.0,0.0,0.0,0.0
2024-09-05 00:00:00,PCA Portfolio 3,-0.0057076599946606025,-0.0012610723223137256,-0.014191501237327958,-0.01718836104010618,-0.014920182292839156,-0.018531610280873013,0.0,0.0,0.0,0.0
2024-09-06 00:00:00,PCA Portfolio 3,-0.013631334108506862,-0.0018193281255786272,-0.014191501237327958,-0.01718836104010618,-0.015426449436748754,-0.018714323654861018,0.0,0.0,0.0,0.0
2024-09-09 00:00:00,PCA Portfolio 3,0.011141358744883988,-0.0016103765056695212,-0.014191501237327958,-0.01718836104010618,-0.015129717266982541,-0.01898129719585896,0.0,0.0,0.0,0.0
2024-09-10 00:00:00,PCA Portfolio 3,0.0002321108185948764,-0.001643218855038979,-0.014191501237327958,-0.01718836104010618,-0.014155051695038732,-0.01823239099317614,0.0,0.0,0.0,0.0
2024-09-11 00:00:00,PCA Portfolio 3,0.0028675338939595984,-0.0015113904317558616,-0.014191501237327958,-0.01718836104010618,-0.015428571440010704,-0.019163057384043197,0.0,0.0,0.0,0.0
2024-09-12 00:00:00,PCA Portfolio 3,0.004585126595065414,-0.0022705843312536217,-0.014191501237327958,-0.01718836104010618,-0.01515460704769199,-0.01976724645002354,0.0,0.0,0.0,0.0
2024-09-13 00:00:00,PCA Portfolio 3,0.008429481594707624,-0.0029953628447577734,-0.014191501237327958,-0.01718836104010618,-0.015978664504954596,-0.019660162228665398,0.0,0.0,0.0,0.0
2024-09-16 00:00:00,PCA Portfolio 3,0.006164717114841101,-0.0032665916115207456,-0.014191501237327958,-0.01718836104010618,-0.017207616270647548,-0.020450377321844727,0.0,0.0,0.0,0.0
2024-09-17 00:00:00,PCA Portfolio 3,0.0019578031900676185,-0.0036394831564899857,-0.014191501237327958,-0.01718836104010618,-0.0168368995425846,-0.0208389418811744,0.0,0.0,0.0,0.0
2024-09-18 00:00:00,PCA Portfolio 3,-0.0026909976794174824,-0.003101634859033948,-0.014191501237327958,-0.01718836104010618,-0.01734268591267639,-0.020197736823475598,0.0,0.0,0.0,0.0
2024-09-19 00:00:00,PCA Portfolio 3,0.01409807822394732,-0.0022610306867972005,-0.014191501237327958,-0.01718836104010618,-0.015273124685714842,-0.018487141746353474,0.0,0.0,0.0,0.0
2024-09-20 00:00:00,PCA Portfolio 3,-0.005379957522411972,-0.003001212358298244,-0.014191501237327958,-0.01718836104010618,-0.014929413786554492,-0.018276198501723868,0.0,0.0,0.0,0.0
2024-09-23 00:00:00,PCA Portfolio 3,0.004442051196017566,-0.002282503229022029,-0.014127256290968627,-0.01684053452041849,-0.015131660608333115,-0.017778019442995733,0.0,0.0,0.0,0.0
2024-09-24 00:00:00,PCA Portfolio 3,0.0011971009723343992,-0.0023712477201404997,-0.014127256290968627,-0.01684053452041849,-0.01466157989693339,-0.017715668269622804,0.0,0.0,0.0,0.0
2024-09-25 00:00:00,PCA Portfolio 3,-0.007899070220057498,-0.003040688190780854,-0.014127256290968627,-0.01684053452041849,-0.015287856469531957,-0.018519383362420965,0.0,0.0,0.0,0.0
2024-09-26 00:00:00,PCA Portfolio 3,0.007854265072649181,-0.0023226128711673357,-0.014127256290968627,-0.01684053452041849,-0.01437484156537337,-0.017799175266860312,0.0,0.0,0.0,0.0
2024-09-27 00:00:00,PCA Portfolio 3,0.0035257863175171674,-0.00199289229084921,-0.014127256290968627,-0.01684053452041849,-0.014442872631065215,-0.017721223153649074,0.0,0.0,0.0,0.0
2024-09-30 00:00:00,PCA Portfolio 3,0.0018855433303284277,-0.0030225512137388865,-0.014127256290968627,-0.01684053452041849,-0.01548548125550699,-0.019515222675771604,0.0,0.0,0.0,0.0
2024-10-01 00:00:00,PCA Portfolio 3,-0.0058522730580439246,-0.0028141833049445523,-0.014127256290968627,-0.01684053452041849,-0.015566283895834684,-0.019910650010683355,0.0,0.0,0.0,0.0
2024-10-02 00:00:00,PCA Portfolio 3,0.0003697594728715027,-0.0027964554641700255,-0.014127256290968627,-0.01684053452041849,-0.015666829441633615,-0.01898262197067696,0.0,0.0,0.0,0.0
2024-10-03 00:00:00,PCA Portfolio 3,-0.004130024081185518,-0.001367394797434388,-0.014127256290968627,-0.01684053452041849,-0.013587956798548758,-0.017107146691333997,0.0,0.0,0.0,0.0
2024-10-04 00:00:00,PCA Portfolio 3,0.008610734018543523,-0.0011248951680764205,-0.014127256290968627,-0.01684053452041849,-0.013775426969118496,-0.01682630314098614,0.0,0.0,0.0,0.0
2024-10-07 00:00:00,PCA Portfolio 3,-0.008845904922066937,-0.002411639001938493,-0.014127256290968627,-0.01684053452041849,-0.015002050670911718,-0.017879188586202945,0.0,0.0,0.0,0.0
2024-10-08 00:00:00,PCA Portfolio 3,0.00322479052446081,-0.002398076828757778,-0.014127256290968627,-0.01684053452041849,-0.014710515238761638,-0.018479609223610808,0.0,0.0,0.0,0.0
