Date,Portfolio,Actual_Returns,LSTM_Predicted_Returns,Historical_VaR,Historical_ES,LSTM_VaR,LSTM_ES,MonteCarlo_VaR,MonteCarlo_ES,Historical_VaR_Breach,LSTM_VaR_Breach,MonteCarlo_VaR_Breach,Historical_ES_Breach,LSTM_ES_Breach,MonteCarlo_ES_Breach
2024-05-22 00:00:00,S&P 500 (Equal-Weight),-0.003820103218943719,0.00066567306640951,-0.016654303775830107,-0.024779918015339134,-0.013361598815224243,-0.016835380287070517,-0.01154745847023888,-0.015501174027714098,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23 00:00:00,S&P 500 (Equal-Weight),-0.014602862356779937,0.00047608819169920013,-0.016654303775830107,-0.024779918015339134,-0.012388033141117779,-0.017103857703570625,-0.011332161724586414,-0.014346020424442989,0.0,1.0,1.0,0.0,0.0,1.0
2024-05-24 00:00:00,S&P 500 (Equal-Weight),0.006004733619212536,-0.0015970153839184862,-0.016654303775830107,-0.024779918015339134,-0.01614811471954687,-0.020248878936367905,-0.010807999406771877,-0.014350179155667366,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28 00:00:00,S&P 500 (Equal-Weight),-0.00781740909763537,-0.0004423511677424804,-0.016654303775830107,-0.024779918015339134,-0.014188717876642241,-0.01711966592150142,-0.011215400073338244,-0.014029166324348807,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29 00:00:00,S&P 500 (Equal-Weight),-0.011438925017153713,-0.0009316478819490918,-0.016654303775830107,-0.024779918015339134,-0.01508804417979834,-0.01839243353709099,-0.011564977582788126,-0.014005605203490005,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-30 00:00:00,S&P 500 (Equal-Weight),0.004554523236401141,-0.0022465689118392764,-0.016654303775830107,-0.024779918015339134,-0.017863014271084318,-0.021588993972484764,-0.01061113838332652,-0.013548812589712477,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31 00:00:00,S&P 500 (Equal-Weight),0.014190648852698532,-0.0014004988751928175,-0.016654303775830107,-0.024779918015339134,-0.01665704056503648,-0.020502904412755617,-0.011034550307146769,-0.014509660890391327,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-03 00:00:00,S&P 500 (Equal-Weight),-0.004922602814502305,0.0009782858218993055,-0.016654303775830107,-0.024779918015339134,-0.013526534845855457,-0.01687256447006814,-0.011686892425115782,-0.014499141905369446,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-04 00:00:00,S&P 500 (Equal-Weight),-0.0020639284069284645,0.000249365767894328,-0.016654303775830107,-0.024779918015339134,-0.014797201099169648,-0.018235383489933164,-0.011206273699927419,-0.014065212324372493,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-05 00:00:00,S&P 500 (Equal-Weight),0.005252262238836441,8.392582589749404e-05,-0.016654303775830107,-0.024779918015339134,-0.01641454899701414,-0.019597485724299164,-0.011062373212293248,-0.013984033422494458,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-06 00:00:00,S&P 500 (Equal-Weight),-0.0022946844638486105,0.0003148735256710369,-0.016654303775830107,-0.024779918015339134,-0.013188247186515255,-0.01738966912028552,-0.01093197220080111,-0.013906146461504865,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-07 00:00:00,S&P 500 (Equal-Weight),-0.003233762037530736,0.00032001008949198497,-0.016654303775830107,-0.024779918015339134,-0.013103341466919263,-0.016647005962743332,-0.01196969183252556,-0.015275763678651235,0.0,0.0,0.0,0.0,0.0,0.0
