Date,Portfolio,Actual_Returns,LSTM_Predicted_Returns,Historical_VaR,Historical_ES,LSTM_VaR,LSTM_ES,MonteCarlo_VaR,MonteCarlo_ES,Historical_VaR_Breach,LSTM_VaR_Breach,MonteCarlo_VaR_Breach,Historical_ES_Breach,LSTM_ES_Breach,MonteCarlo_ES_Breach
2024-05-22 00:00:00,PCA Portfolio 5,-0.006569088367014394,0.002952785588660975,-0.019306412273708117,-0.02743883781748206,-0.011534107765290633,-0.014480853547042124,-0.012889174969049328,-0.01609851943381301,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23 00:00:00,PCA Portfolio 5,-0.015052196841941921,0.0019164120673809436,-0.019306412273708117,-0.02743883781748206,-0.01118753348079651,-0.014487113482007551,-0.011284712767510838,-0.01477076874525686,0.0,1.0,1.0,0.0,1.0,1.0
2024-05-24 00:00:00,PCA Portfolio 5,0.007166975612878622,-0.0008402624613138215,-0.019306412273708117,-0.02743883781748206,-0.014717874216564371,-0.018091796492402567,-0.01084465136976143,-0.014022944690761483,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28 00:00:00,PCA Portfolio 5,-0.0029792118635182147,-0.0005853320402215352,-0.019306412273708117,-0.02743883781748206,-0.013969596203606428,-0.017553637247515713,-0.011604588499819848,-0.015126970888211515,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29 00:00:00,PCA Portfolio 5,-0.011862326659422022,-0.0012033913022066064,-0.019306412273708117,-0.02743883781748206,-0.015542541394558166,-0.018364106552063678,-0.012775101014346197,-0.016254659876158203,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-30 00:00:00,PCA Portfolio 5,0.005839007564826185,-0.003186456621043158,-0.019306412273708117,-0.02743883781748206,-0.01720184100320745,-0.02075478345014809,-0.012161297823979336,-0.015443129774875785,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31 00:00:00,PCA Portfolio 5,0.015320710712885637,-0.002510486290033432,-0.019306412273708117,-0.02743883781748206,-0.017157492096341258,-0.020733777084160753,-0.013030183867080403,-0.016271944455722203,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-03 00:00:00,PCA Portfolio 5,-0.009339628421726583,0.0008506315636235835,-0.019306412273708117,-0.02743883781748206,-0.01443006537359595,-0.018347711811834717,-0.01237397831682845,-0.015771122372161862,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-04 00:00:00,PCA Portfolio 5,-0.005212275657447497,0.0010449590474389148,-0.019306412273708117,-0.02743883781748206,-0.01741649817693162,-0.02112553772168579,-0.011518449400808595,-0.014923033922964518,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-05 00:00:00,PCA Portfolio 5,0.004430576219537165,0.0013338096015184416,-0.019306412273708117,-0.02743883781748206,-0.015392594994086368,-0.020651978141746633,-0.011904105268526534,-0.01518479607940105,0.0,0.0,0.0,0.0,0.0,0.0
