Date,Portfolio,Actual_Returns,LSTM_Predicted_Returns,Historical_VaR,Historical_ES,LSTM_VaR,LSTM_ES,Historical_VaR_Breach,LSTM_VaR_Breach,Historical_ES_Breach,LSTM_ES_Breach
2024-05-22 00:00:00,PCA Portfolio 2,-0.005605323038967671,0.001767874440128482,-0.016886802330647273,-0.02373331614805485,-0.010222028718243811,-0.013504901813624121,0.0,0.0,0.0,0.0
2024-05-23 00:00:00,PCA Portfolio 2,-0.016344865032658168,0.0009659318539932235,-0.016886802330647273,-0.02373331614805485,-0.010780004040021959,-0.014171157717941698,0.0,1.0,0.0,1.0
2024-05-24 00:00:00,PCA Portfolio 2,0.004999283326436362,-0.003162564760331281,-0.016886802330647273,-0.02373331614805485,-0.017592033832678957,-0.02036726294539963,0.0,0.0,0.0,0.0
2024-05-28 00:00:00,PCA Portfolio 2,-0.006551082870742778,-0.0009234830409877839,-0.016886802330647273,-0.02373331614805485,-0.014017742603711466,-0.018111835953758672,0.0,0.0,0.0,0.0
2024-05-29 00:00:00,PCA Portfolio 2,-0.011857674338851982,-0.001803506914281728,-0.016886802330647273,-0.02373331614805485,-0.015082483363413592,-0.018536137210623433,0.0,0.0,0.0,0.0
2024-05-30 00:00:00,PCA Portfolio 2,0.006208038312391196,-0.005334910835956549,-0.016886802330647273,-0.02373331614805485,-0.01959543432616323,-0.023868735338969892,0.0,0.0,0.0,0.0
2024-05-31 00:00:00,PCA Portfolio 2,0.016535651907450277,-0.0029266457793742755,-0.016886802330647273,-0.02373331614805485,-0.017638222173804115,-0.021176612053421615,0.0,0.0,0.0,0.0
2024-06-03 00:00:00,PCA Portfolio 2,-0.005487689955314327,-0.0001904841068122261,-0.016886802330647273,-0.02373331614805485,-0.012934476855068138,-0.016323183347440255,0.0,0.0,0.0,0.0
2024-06-04 00:00:00,PCA Portfolio 2,-0.0008846775185977153,-0.0006726923167993451,-0.016886802330647273,-0.02373331614805485,-0.014721869459705335,-0.01855140657940334,0.0,0.0,0.0,0.0
2024-06-05 00:00:00,PCA Portfolio 2,0.002361797959624701,-0.000691250294612873,-0.016886802330647273,-0.02373331614805485,-0.015023687948323868,-0.01921348287080289,0.0,0.0,0.0,0.0
