,Date,Explained_Variance_Ratio
2010-11-29,2010-11-29,0.4694139721253673
2010-11-30,2010-11-30,0.4670318961618697
2010-12-01,2010-12-01,0.46801118195715097
2010-12-02,2010-12-02,0.46952544720434924
2010-12-03,2010-12-03,0.4703075167070309
2010-12-06,2010-12-06,0.47051154771402487
2010-12-07,2010-12-07,0.4713835290003667
2010-12-08,2010-12-08,0.4718346528516391
2010-12-09,2010-12-09,0.47118644279416527
2010-12-10,2010-12-10,0.47118123245546745
2010-12-13,2010-12-13,0.4716893728467989
2010-12-14,2010-12-14,0.4717535511750024
2010-12-15,2010-12-15,0.47095751907830447
2010-12-16,2010-12-16,0.47152465466818516
2010-12-17,2010-12-17,0.4720775107794399
2010-12-20,2010-12-20,0.47132480172401897
2010-12-21,2010-12-21,0.4717985806379485
2010-12-22,2010-12-22,0.47129506742924204
2010-12-23,2010-12-23,0.47140511728236373
2010-12-27,2010-12-27,0.4720104682755152
2010-12-28,2010-12-28,0.4718545488651819
2010-12-29,2010-12-29,0.47208021847182
2010-12-30,2010-12-30,0.4722476310122787
2010-12-31,2010-12-31,0.4724024532429652
2011-01-03,2011-01-03,0.4715595001665709
2011-01-04,2011-01-04,0.47166246822364843
2011-01-05,2011-01-05,0.4722811840239853
2011-01-06,2011-01-06,0.4726949409097795
2011-01-07,2011-01-07,0.47295192703680755
2011-01-10,2011-01-10,0.4733852858520182
2011-01-11,2011-01-11,0.4738986400526181
2011-01-12,2011-01-12,0.47377115299545375
2011-01-13,2011-01-13,0.4735868005568151
2011-01-14,2011-01-14,0.47390517415143213
2011-01-18,2011-01-18,0.4732548536846673
2011-01-19,2011-01-19,0.47224228544959074
2011-01-20,2011-01-20,0.4727180266404138
2011-01-21,2011-01-21,0.471412451903108
2011-01-24,2011-01-24,0.46928461245732356
2011-01-25,2011-01-25,0.46946928705787355
2011-01-26,2011-01-26,0.469477677160032
2011-01-27,2011-01-27,0.4700615216136581
2011-01-28,2011-01-28,0.4689913058465664
2011-01-31,2011-01-31,0.47143706508448574
2011-02-01,2011-02-01,0.47065670646586655
2011-02-02,2011-02-02,0.4713336052149986
2011-02-03,2011-02-03,0.4713306230219676
2011-02-04,2011-02-04,0.46417503268263083
2011-02-07,2011-02-07,0.46453741531761156
2011-02-08,2011-02-08,0.4646348196122535
2011-02-09,2011-02-09,0.4641389953979614
2011-02-10,2011-02-10,0.46394537425809523
2011-02-11,2011-02-11,0.4632338059885735
2011-02-14,2011-02-14,0.46320689542099164
2011-02-15,2011-02-15,0.4616374069341989
2011-02-16,2011-02-16,0.46151033876225755
2011-02-17,2011-02-17,0.4618317289166906
2011-02-18,2011-02-18,0.4614906196078547
2011-02-22,2011-02-22,0.46132188414448855
2011-02-23,2011-02-23,0.4634238673075056
2011-02-24,2011-02-24,0.46301949647962437
2011-02-25,2011-02-25,0.46280978702074116
2011-02-28,2011-02-28,0.4641866489686748
2011-03-01,2011-03-01,0.46351911559520964
2011-03-02,2011-03-02,0.4653432062281043
2011-03-03,2011-03-03,0.4651830481433476
2011-03-04,2011-03-04,0.4673215335933339
2011-03-07,2011-03-07,0.4662371345761011
2011-03-08,2011-03-08,0.46668943473053165
2011-03-09,2011-03-09,0.46741302457543954
