Portfolio: PCA Portfolio 3

Portfolio Statistics:
Annual_Return                                                          0.126868
Annual_Volatility                                                      0.182804
Sharpe_Ratio                                                           0.694012
Historical_VaR_Breach_Rate                                             4.481793
LSTM_VaR_Breach_Rate                                                   1.120448
Skewness                                                              -0.938706
Excess_Kurtosis                                                       15.996688
Max_Drawdown                                                          -0.145093
VaR_95_Historical                                                     -0.017468
Annual_Turnover               [0.014278014439476358, 0.016909961005680457, 0...
Mean_Explained_Variance                                                0.034447
Weight_Stability                                                            NaN
Max_Single_Stock_Exposure                                                   NaN

Risk Metrics Summary:
Historical_VaR_Breach_Rate        4.481793
LSTM_VaR_Breach_Rate              1.120448
Avg_Historical_VaR               -0.012110
Avg_Historical_ES                -0.014409
Avg_LSTM_VaR                     -0.016671
Avg_LSTM_ES                      -0.020120
LSTM_Prediction_MAE               0.006667
LSTM_Prediction_MSE               0.000067
LSTM_Prediction_Std               0.002407
Actual_Returns_Std                0.007171
LSTM_VaR_Coverage_Ratio           0.224090
Historical_VaR_Coverage_Ratio     0.896359
LSTM_ES_vs_Historical_ES_Ratio    1.396388

Portfolio Composition:
       Stock        Weight  Risk_Contribution  Expected_Shortfall_Contribution  Weight_Percentage
BSX      BSX  4.201666e-03       7.535103e-05                    -1.880742e-04           0.420167
SNPS    SNPS  4.167724e-03       6.987635e-05                    -1.758085e-04           0.416772
KLAC    KLAC  4.164127e-03       9.428955e-05                    -1.877366e-04           0.416413
LRCX    LRCX  4.145191e-03       1.010282e-04                    -1.880273e-04           0.414519
FICO    FICO  4.128425e-03       8.755523e-05                    -1.849758e-04           0.412843
AMAT    AMAT  4.127636e-03       9.529994e-05                    -1.856500e-04           0.412764
PGR      PGR  4.103406e-03       5.808044e-05                    -1.781358e-04           0.410341
CMCSA  CMCSA  4.077207e-03       6.273870e-05                    -1.705400e-04           0.407721
RMD      RMD  4.075617e-03       7.802084e-05                    -1.961643e-04           0.407562
AIG      AIG  4.063926e-03       8.897017e-05                    -1.935793e-04           0.406393
AIZ      AIZ  3.995401e-03       6.509846e-05                    -1.820075e-04           0.399540
IDXX    IDXX  3.986855e-03       7.277411e-05                    -1.663818e-04           0.398686
MCHP    MCHP  3.982921e-03       8.417652e-05                    -1.762083e-04           0.398292
WELL    WELL  3.971690e-03       7.250630e-05                    -1.868749e-04           0.397169
STX      STX  3.901465e-03       1.003414e-04                    -1.813898e-04           0.390147
WMB      WMB  3.890833e-03       9.297317e-05                    -2.025186e-04           0.389083
FSLR    FSLR  3.890751e-03       1.295696e-04                    -1.969542e-04           0.389075
TT        TT  3.884379e-03       6.726132e-05                    -1.631094e-04           0.388438
BG        BG  3.864994e-03       7.085082e-05                    -1.819231e-04           0.386499
PWR      PWR  3.848852e-03       7.950790e-05                    -1.737578e-04           0.384885
AMD      AMD  3.834656e-03       1.336401e-04                    -1.986484e-04           0.383466
ROST    ROST  3.828880e-03       7.025753e-05                    -1.672094e-04           0.382888
STT      STT  3.821659e-03       7.570246e-05                    -1.702790e-04           0.382166
EG        EG  3.807584e-03       5.838751e-05                    -1.662397e-04           0.380758
TRV      TRV  3.773074e-03       5.359525e-05                    -1.665538e-04           0.377307
CB        CB  3.754617e-03       5.250294e-05                    -1.652225e-04           0.375462
VTR      VTR  3.746178e-03       7.708240e-05                    -1.807416e-04           0.374618
EW        EW  3.741386e-03       7.882160e-05                    -1.829621e-04           0.374139
CVS      CVS  3.708291e-03       5.839098e-05                    -1.645981e-04           0.370829
YUM      YUM  3.704583e-03       5.516424e-05                    -1.629335e-04           0.370458
OKE      OKE  3.694445e-03       8.870587e-05                    -1.934348e-04           0.369444
PG        PG  3.684104e-03       3.958902e-05                    -1.519791e-04           0.368410
CCI      CCI  3.675547e-03       5.473404e-05                    -1.488017e-04           0.367555
NXPI    NXPI  3.569752e-03       9.272490e-05                    -1.641726e-04           0.356975
A          A  3.535012e-03       6.362815e-05                    -1.495040e-04           0.353501
LEN      LEN  3.534990e-03       8.299524e-05                    -1.573302e-04           0.353499
AFL      AFL  3.479348e-03       5.829410e-05                    -1.552033e-04           0.347935
SPGI    SPGI  3.471388e-03       5.567358e-05                    -1.588386e-04           0.347139
QCOM    QCOM  3.424313e-03       7.192169e-05                    -1.636021e-04           0.342431
HD        HD  3.420571e-03       5.025668e-05                    -1.464985e-04           0.342057
SBAC    SBAC  3.405180e-03       5.440842e-05                    -1.389644e-04           0.340518
ANSS    ANSS  3.400150e-03       6.085940e-05                    -1.412358e-04           0.340015
DHI      DHI  3.388019e-03       7.680170e-05                    -1.468318e-04           0.338802
TFX      TFX  3.377484e-03       5.628400e-05                    -1.442729e-04           0.337748
MCO      MCO  3.363421e-03       6.079413e-05                    -1.517173e-04           0.336342
CSX      CSX  3.356588e-03       5.848724e-05                    -1.381265e-04           0.335659
CAT      CAT  3.349237e-03       6.137431e-05                    -1.421928e-04           0.334924
ALL      ALL  3.309965e-03       4.896158e-05                    -1.524966e-04           0.330996
ACGL    ACGL  3.270977e-03       4.902724e-05                    -1.466136e-04           0.327098
REGN    REGN  3.227466e-03       7.654057e-05                    -1.369169e-04           0.322747
LOW      LOW  3.189156e-03       5.570303e-05                    -1.399813e-04           0.318916
SHW      SHW  3.172494e-03       4.953684e-05                    -1.363409e-04           0.317249
WAT      WAT  3.148260e-03       5.405599e-05                    -1.341368e-04           0.314826
TYL      TYL  3.119219e-03       5.619361e-05                    -1.297987e-04           0.311922
AES      AES  3.104325e-03       6.253992e-05                    -1.385577e-04           0.310433
ICE      ICE  3.101559e-03       4.617800e-05                    -1.256266e-04           0.310156
RVTY    RVTY  3.089321e-03       5.396581e-05                    -1.302769e-04           0.308932
ON        ON  3.083512e-03       8.704953e-05                    -1.447525e-04           0.308351
WDC      WDC  3.066935e-03       8.278090e-05                    -1.434100e-04           0.306694
RTX      RTX  3.065324e-03       4.798315e-05                    -1.398921e-04           0.306532
LYB      LYB  3.040878e-03       6.663543e-05                    -1.396226e-04           0.304088
COO      COO  3.031610e-03       5.078919e-05                    -1.328059e-04           0.303161
AVB      AVB  3.030942e-03       4.602456e-05                    -1.248705e-04           0.303094
SWKS    SWKS  2.997479e-03       7.686179e-05                    -1.390761e-04           0.299748
EQR      EQR  2.996734e-03       4.622588e-05                    -1.198955e-04           0.299673
INTU    INTU  2.990431e-03       5.460152e-05                    -1.280426e-04           0.299043
DHR      DHR  2.989252e-03       4.878787e-05                    -1.179371e-04           0.298925
BK        BK  2.964623e-03       5.057189e-05                    -1.236923e-04           0.296462
TMO      TMO  2.950254e-03       4.561248e-05                    -1.189575e-04           0.295025
NVR      NVR  2.939478e-03       5.337745e-05                    -1.278501e-04           0.293948
SRE      SRE  2.937727e-03       4.017585e-05                    -1.206589e-04           0.293773
CPT      CPT  2.911690e-03       4.444515e-05                    -1.209370e-04           0.291169
TECH    TECH  2.898712e-03       5.015887e-05                    -1.163874e-04           0.289871
EQT      EQT  2.895011e-03       7.889179e-05                    -1.341629e-04           0.289501
UDR      UDR  2.875891e-03       4.542391e-05                    -1.182048e-04           0.287589
DECK    DECK  2.857997e-03       7.705543e-05                    -1.361188e-04           0.285800
APH      APH  2.856070e-03       4.500572e-05                    -1.194145e-04           0.285607
KMB      KMB  2.853466e-03       3.284555e-05                    -1.199286e-04           0.285347
ESS      ESS  2.837704e-03       4.388286e-05                    -1.142239e-04           0.283770
PHM      PHM  2.836883e-03       7.023016e-05                    -1.312477e-04           0.283688
