,Component_1,Component_2,Component_3,Component_4,Component_5
2010-11-29,0.4694139721253673,0.023087961486214455,0.017385003490646016,0.012602045726989466,0.012276021400407492
2010-11-30,0.4670318961618697,0.023201899887174134,0.01748014142481908,0.01269901826019517,0.012325659268305231
2010-12-01,0.46801118195715097,0.023224671580246894,0.01649247088976825,0.012797618390846139,0.012272525971615695
2010-12-02,0.46952544720434924,0.023067690480527342,0.016411908680181008,0.012908577176372067,0.012227964837390765
2010-12-03,0.4703075167070309,0.02310661402919935,0.016405630192089394,0.012992524241297572,0.01216767210268629
2010-12-06,0.47051154771402487,0.023072925218990323,0.016448078501192048,0.01303061290393135,0.011972474079504473
2010-12-07,0.4713835290003667,0.02292373100387585,0.016444351557308147,0.013058775021496912,0.011919921890201433
2010-12-08,0.4718346528516391,0.022785539948963384,0.016240427678601132,0.0130737061157887,0.011971865459033566
2010-12-09,0.47118644279416527,0.022816829976572136,0.016171261562781637,0.01354651335512392,0.012091607546639188
2010-12-10,0.47118123245546745,0.022829193788446507,0.016147824380573952,0.013572870541064489,0.012050860454871656
2010-12-13,0.4716893728467989,0.022685704176845966,0.016092028525169562,0.013586295360723913,0.01211604894349576
2010-12-14,0.4717535511750024,0.022724535242626343,0.01601606133130998,0.013550564734213334,0.012157942580631367
2010-12-15,0.47095751907830447,0.023042535161772723,0.01617362433642034,0.013571971237786659,0.012260561874977897
2010-12-16,0.47152465466818516,0.023032895405687665,0.01604768588887981,0.013576084608453411,0.012316921164051335
2010-12-17,0.4720775107794399,0.022901792051364455,0.016162040598197123,0.013579580120807101,0.012312391271360787
2010-12-20,0.47132480172401897,0.022928166443573293,0.016183600306697393,0.013568857000622013,0.012314950170333799
2010-12-21,0.4717985806379485,0.022945908676386063,0.0163016889167859,0.01360565964142299,0.012327602823133143
2010-12-22,0.47129506742924204,0.023117737265580866,0.016340278022632968,0.013638370185062188,0.012360489909714945
2010-12-23,0.47140511728236373,0.023107771275959872,0.0164487836298001,0.01369129155039405,0.012323218235145265
2010-12-27,0.4720104682755152,0.023173258245287324,0.016445392069842562,0.013636444890220922,0.01234255472517279
2010-12-28,0.4718545488651819,0.02319256375453035,0.01648876989392315,0.013640996879783067,0.012347577255323329
2010-12-29,0.47208021847182,0.02315637181839763,0.016515948370755228,0.013636863290652229,0.012346560869466727
2010-12-30,0.4722476310122787,0.02316456954541709,0.01649699348951222,0.013627994078923138,0.012356184015603176
2010-12-31,0.4724024532429652,0.023170744834898047,0.016497254370570303,0.013624504309521404,0.01235712896799992
2011-01-03,0.4715595001665709,0.023102392445003266,0.01660016056580369,0.013556187254670877,0.012366431785187525
