Component,Mean_Explained_Variance,Std_Explained_Variance,Min_Explained_Variance,Max_Explained_Variance
Component_1,0.36583256168678324,0.10492769748685397,0.1552944238955446,0.5854779936377615
Component_2,0.06370311441425926,0.021679348364080493,0.022685704176845966,0.11354934675884372
Component_3,0.034447468703319536,0.013613018473832618,0.01563096553378941,0.0778383757200582
Component_4,0.022394786862214557,0.005705312890373136,0.01194612748609359,0.03881931374603958
Component_5,0.016832712367137587,0.003225662687413628,0.009423635909950639,0.024850227886761212
